ordenvalido
Columbiformes
Coraciiformes
Apodiformes
Suliformes
Strigiformes
Ciconiiformes
Gaviiformes
Charadriiformes
Podicipediformes
Cathartiformes
Phoenicopteriformes
Accipitriformes
Anseriformes
Phaethontiformes
Falconiformes
Trogoniformes
Caprimulgiformes
Nyctibiiformes
Psittaciformes
Galliformes
Gruiformes
Passeriformes
Pelecaniformes
Piciformes
Cuculiformes
Tinamiformes
Procellariiformes
Eurypygiformes
Coliiformes
