especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Pachyramphus major,"cabezón mexicano, mosquero-cabezón mexicano",CHIHUAHUA,Terrestre,Válido,-108.0621243,27.4198042
Parabuteo unicinctus,aguililla rojinegra,CHIHUAHUA,Terrestre,Válido,-105.498,26.7221
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Rallus tenuirostris,rascón azteca,CHIHUAHUA,Dulceacuícola,Válido,-105.4771185,28.2626585
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",CHIHUAHUA,Terrestre,Válido,-108.0689907,27.4090506
Toxostoma curvirostre,cuicacoche pico curvo,CHIHUAHUA,Terrestre,Válido,-108.034941,27.320249
Trogon mexicanus,"coa mexicana, trogón mexicano",CHIHUAHUA,Terrestre,Válido,-107.567318,27.624063
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Baeolophus inornatus,"carbonero encinero, carbonero sencillo",CHIHUAHUA,Terrestre,Válido,-108.7166667,31.2
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",CHIHUAHUA,Terrestre,Válido,-107.19841,26.5314083
Callipepla squamata,codorniz escamosa,CHIHUAHUA,Terrestre,Válido,-105.9755525,29.750095
Campylorhynchus brunneicapillus,matraca del desierto,CHIHUAHUA,Terrestre,Válido,-105.498,26.7221
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",CHIHUAHUA,Terrestre,Válido,-105.498,26.7221
Chloroceryle americana,martín pescador verde,CHIHUAHUA,Dulceacuícola,Válido,-105.4621632,28.2702292
Coccothraustes vespertinus,picogrueso norteño,CHIHUAHUA,Terrestre,Válido,-108.2019,29.32788
Corvus corax,cuervo común,CHIHUAHUA,Terrestre,Válido,-103.5259514,29.1354998
Haemorhous mexicanus,pinzón mexicano,CHIHUAHUA,Terrestre,Válido,-106.9334,28.4021
Melozone fusca,"rascador viejita, toquí pardo",CHIHUAHUA,Terrestre,Válido,-105.498,26.7221
Peucaea carpalis,"zacatonero ala rufa, zacatonero hombros canela",CHIHUAHUA,Terrestre,Válido,-108.7064719,29.0387215
Pheugopedius felix,"chivirín feliz, saltapared feliz",CHIHUAHUA,Terrestre,Válido,-107.0422666,27.0952051
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Pitangus sulphuratus,Luis bienteveo,CHIHUAHUA,Terrestre,Válido,-107.55606,27.60988
Thryothorus ludovicianus,"chivirín de Carolina, saltapared de carolina",CHIHUAHUA,Terrestre,Válido,-103.52629,29.1361961
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",CHIHUAHUA,Terrestre,Válido,-107.8231233,27.5345416
Accipiter bicolor,gavilán bicolor,CHIHUAHUA,Terrestre,Válido,-103.9933333,27.8033333
Amazona albifrons,loro frente blanca,CHIHUAHUA,Terrestre,Válido,-106.3666667,27.2833333
Amazona finschi,loro corona lila,CHIHUAHUA,Terrestre,Válido,-108.5216667,27.0533333
Baeolophus atricristatus,carbonero cresta negra,CHIHUAHUA,Terrestre,Válido,-107.4766667,27.5716667
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",CHIHUAHUA,Terrestre,Válido,-105.433955,28.2901516
Coccothraustes abeillei,picogrueso encapuchado,CHIHUAHUA,Terrestre,Válido,-108.03504,27.31984
Coragyps atratus,zopilote común,CHIHUAHUA,Terrestre,Válido,-105.4855967,28.2584681
Glaucidium palmarum,tecolote colimense,CHIHUAHUA,Terrestre,Válido,-107.9070866,27.2277094
Gymnogyps californianus,cóndor californiano,CHIHUAHUA,Terrestre,Válido,-104.82347,27.03037
Loxia curvirostra,picotuerto rojo,CHIHUAHUA,Terrestre,Válido,-106.114725,28.6025009
Melozone kieneri,"rascador nuca canela, rascador nuca rufa",CHIHUAHUA,Terrestre,Válido,-108.1223617,27.6196621
Myiopsitta monachus,perico monje argentino,CHIHUAHUA,Terrestre,Válido,-106.0709425,28.6576214
Nyctiphrynus mcleodii,"tapacamino prío, tapacaminos prío",CHIHUAHUA,Terrestre,Válido,-108.5216667,27.0533333
Ortalis wagleri,chachalaca vientre castaño,CHIHUAHUA,Terrestre,Válido,-107.91328,27.26299
Peucaea botterii,zacatonero de Botteri,CHIHUAHUA,Terrestre,Válido,-108.1223617,27.6196621
Psittacara holochlorus,perico mexicano,CHIHUAHUA,Terrestre,Válido,-107.902431,27.174342
Sitta carolinensis,"bajapalos pecho blanco, sita pecho blanco",CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Turdus assimilis,mirlo garganta blanca,CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",CHIHUAHUA,Terrestre,Válido,-105.4771185,28.2626585
Xiphorhynchus flavigaster,trepatroncos bigotudo,CHIHUAHUA,Terrestre,Válido,-108.12631,27.00802
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",CHIHUAHUA,Terrestre,Válido,-108.2096243,30.1324714
Amphispizopsis quinquestriata,zacatonero cinco rayas,CHIHUAHUA,Terrestre,Válido,-107.9042645,27.1719477
Ara militaris,guacamaya verde,CHIHUAHUA,Terrestre,Válido,-108.1,27.15
Auriparus flaviceps,baloncillo,CHIHUAHUA,Terrestre,Válido,-106.0709425,28.6576214
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Buteo plagiatus,aguililla gris,CHIHUAHUA,Terrestre,Válido,-107.9369777,30.3722967
Cairina moschata,pato real,CHIHUAHUA,Dulceacuícola,Válido,-105.4771185,28.2626585
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",CHIHUAHUA,Terrestre,Válido,-108.6322546,31.0067089
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",CHIHUAHUA,Terrestre,Válido,-107.8293729,27.5329858
Colaptes auricularis,carpintero corona gris,CHIHUAHUA,Terrestre,Válido,-108.0621243,27.4198042
Columbina talpacoti,"tortolita canela, tórtola rojiza",CHIHUAHUA,Terrestre,Válido,-107.9369777,30.3722967
Corvus brachyrhynchos,"cuervo americano, cuervo norteamericano",CHIHUAHUA,Terrestre,Válido,-106.48694,31.73944
Corvus sinaloae,cuervo sinaloense,CHIHUAHUA,Terrestre,Válido,-107.8257309,26.8938797
Cyanocitta stelleri,"chara copetona, chara crestada",CHIHUAHUA,Terrestre,Válido,-108.163273,29.320693
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",CHIHUAHUA,Dulceacuícola,Válido,-105.4988583,28.243898
Euptilotis neoxenus,"quetzal orejón, trogón orejón",CHIHUAHUA,Terrestre,Válido,-108.163273,29.320693
Glaucidium gnoma,tecolote serrano,CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",CHIHUAHUA,Terrestre,Válido,-107.9042645,27.1719477
Megascops trichopsis,tecolote rítmico,CHIHUAHUA,Terrestre,Válido,-107.5333333,27.3
Myiarchus tuberculifer,papamoscas triste,CHIHUAHUA,Terrestre,Válido,-108.0394321,27.4264324
Nannopterum brasilianum,"cormorán neotropical, cormorán oliváceo",CHIHUAHUA,Dulceacuícola; Marino; Salobre,Válido,-105.4546408,28.275877
Oreothlypis superciliosa,"chipe cejas blancas, parula ceja blanca",CHIHUAHUA,Terrestre,Válido,-108.034941,27.320249
Passer domesticus,"gorrión casero, gorrión doméstico",CHIHUAHUA,Terrestre,Válido,-106.0709425,28.6576214
Peucedramus taeniatus,ocotero enmascarado,CHIHUAHUA,Terrestre,Válido,-108.163273,29.320693
Polioptila melanura,perlita del desierto,CHIHUAHUA,Terrestre,Válido,-103.913455,28.91899
Ramosomyia violiceps,colibrí corona violeta,CHIHUAHUA,Terrestre,Válido,-108.034941,27.320249
Rhynchopsitta terrisi,cotorra serrana oriental,CHIHUAHUA,Terrestre,Válido,-108.1087577,30.8921158
Spizella wortheni,gorrión de Worthen,CHIHUAHUA,Terrestre,Válido,-106.7709504,29.4852633
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",CHIHUAHUA,Terrestre,Válido,-106.0709425,28.6576214
Streptopelia roseogrisea,paloma de collar africana,CHIHUAHUA,Terrestre,Válido,-105.4945856,28.1943939
Strix virgata,búho café,CHIHUAHUA,Terrestre,Válido,-106.3666667,27.2833333
Sturnella magna,pradero tortillaconchile,CHIHUAHUA,Terrestre,Válido,-108.349,30.7114
Sturnus vulgaris,estornino pinto,CHIHUAHUA,Terrestre,Válido,-105.4793586,28.2612277
Toxostoma bendirei,cuicacoche pico corto,CHIHUAHUA,Terrestre,Válido,-108.58,30.7683333
Tyto alba,lechuza de campanario,CHIHUAHUA,Terrestre,Válido,-107.1130085,29.2594112
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",CIUDAD DE MEXICO,Terrestre,Válido,-99.1933333,19.3983333
Amazona autumnalis,loro cachetes amarillos,CIUDAD DE MEXICO,Terrestre,Válido,-99.1359529,19.2716941
Anhinga anhinga,anhinga americana,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.1855505,19.4230026
Aphelocoma ultramarina ultramarina,chara pecho gris,CIUDAD DE MEXICO,Terrestre,Válido,-99.1983333,19.1033333
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",CIUDAD DE MEXICO,Terrestre,Válido,-99.2566708,19.2950638
Atlapetes pileatus pileatus,atlapetes gorra rufa,CIUDAD DE MEXICO,Terrestre,Válido,-99.2666667,19.1483333
Caracara plancus cheriway,caracara quebrantahuesos,CIUDAD DE MEXICO,Terrestre,Válido,-99.2042219,19.3901941
Coccothraustes abeillei,picogrueso encapuchado,CIUDAD DE MEXICO,Terrestre,Válido,-99.2585582,19.2500133
Cyanocitta stelleri,"chara copetona, chara crestada",CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Cynanthus canivetii,"esmeralda oriental, esmeralda tijereta",CIUDAD DE MEXICO,Terrestre,Válido,-99.138611,19.434167
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.0965006,19.291742
Dendrortyx macroura,codorniz coluda transvolcánica,CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Eremophila alpestris,alondra cornuda,CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Junco phaeonotus phaeonotus,junco ojo de lumbre,CIUDAD DE MEXICO,Terrestre,Válido,-99.1983333,19.1033333
Loxia curvirostra,picotuerto rojo,CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Mitrephanes phaeocercus,"mosquero copetón, papamoscas copetón",CIUDAD DE MEXICO,Terrestre,Válido,-99.2507252,19.3007348
Myioborus miniatus miniatus,chipe de montaña,CIUDAD DE MEXICO,Terrestre,Válido,-99.2566667,19.205
Myiopsitta monachus,perico monje argentino,CIUDAD DE MEXICO,Terrestre,Válido,-99.1913583,19.4696107
Myiozetetes similis,"Luis gregario, luisito común",CIUDAD DE MEXICO,Terrestre,Válido,-99.1928315,19.3149605
Oreothlypis superciliosa,"chipe cejas blancas, parula ceja blanca",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Pachyramphus aglaiae,"cabezón degollado, mosquero-cabezón degollado",CIUDAD DE MEXICO,Terrestre,Válido,-99.1816539,19.299733
Saucerottia beryllina,colibrí berilo,CIUDAD DE MEXICO,Terrestre,Válido,-99.1857801,19.3165304
Spinus notatus,"jilguerito encapuchado, jilguero encapuchado",CIUDAD DE MEXICO,Terrestre,Válido,-99.1543579,19.407021
Streptoprocne rutila,vencejo cuello castaño,CIUDAD DE MEXICO,Terrestre,Válido,-99.0914299,19.2964105
Streptoprocne semicollaris,vencejo nuca blanca,CIUDAD DE MEXICO,Terrestre,Válido,-99.1805343,19.3228118
Strix virgata,búho café,CIUDAD DE MEXICO,Terrestre,Válido,-99.2042219,19.3901941
Toxostoma curvirostre,cuicacoche pico curvo,CIUDAD DE MEXICO,Terrestre,Válido,-99.096936,19.37038
Turdus assimilis,mirlo garganta blanca,CIUDAD DE MEXICO,Terrestre,Válido,-99.2566708,19.2950638
Vireo huttoni,vireo reyezuelo,CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Vireolanius melitophrys,"vireón arlequín, vireón pecho castaño",CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Bubo virginianus,búho cornudo,CIUDAD DE MEXICO,Terrestre,Válido,-98.9898634,19.2611983
Buteo brachyurus,aguililla cola corta,CIUDAD DE MEXICO,Terrestre,Válido,-99.1939785,19.3177445
Catharus frantzii,zorzal de Frantzius,CIUDAD DE MEXICO,Terrestre,Válido,-99.2833333,19.2611111
Columbina inca,"tortolita cola larga, tórtola cola larga",CIUDAD DE MEXICO,Terrestre,Válido,-99.2076539,19.2758986
Coragyps atratus,zopilote común,CIUDAD DE MEXICO,Terrestre,Válido,-99.1683333,19.3416666
Crotophaga sulcirostris,garrapatero pijuy,CIUDAD DE MEXICO,Terrestre,Válido,-99.0009033,19.2557067
Cynanthus latirostris,colibrí pico ancho,CIUDAD DE MEXICO,Terrestre,Válido,-99.1925096,19.3164893
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Glaucidium palmarum,tecolote colimense,CIUDAD DE MEXICO,Terrestre,Válido,-99.2929993,19.2649994
Haemorhous mexicanus,pinzón mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.0277157,19.2645383
Jacana spinosa,jacana norteña,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.0814072,19.2654825
Lepidocolaptes leucogaster,"trepatroncos escarchado, trepatroncos mexicano",CIUDAD DE MEXICO,Terrestre,Válido,-98.9900672,19.1533169
Megascops asio,"tecolote del este, tecolote oriental",CIUDAD DE MEXICO,Terrestre,Válido,-99.1866667,19.33
Melanerpes chrysogenys,carpintero enmascarado,CIUDAD DE MEXICO,Terrestre,Válido,-99.0590381,19.2636463
Momotus mexicanus,"momoto corona café, momoto corona canela",CIUDAD DE MEXICO,Terrestre,Válido,-99.1886747,19.4847783
Myiopagis viridicata,"elenia verdosa, mosquerito verdoso",CIUDAD DE MEXICO,Terrestre,Válido,-99.1959415,19.2961912
Oriturus superciliosus,"zacatonero rayado, zacatonero serrano",CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Pampa curvipennis,"fandanguero cola cuña, fandanguero mexicano",CIUDAD DE MEXICO,Terrestre,Válido,-99.138611,19.434167
Parabuteo unicinctus,aguililla rojinegra,CIUDAD DE MEXICO,Terrestre,Válido,-99.1991347,19.4178989
Passer domesticus,"gorrión casero, gorrión doméstico",CIUDAD DE MEXICO,Terrestre,Válido,-99.0277157,19.2645383
Poecile sclateri,carbonero mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Polioptila albiloris,perlita pispirria,CIUDAD DE MEXICO,Terrestre,Válido,-99.1916667,19.3619444
Ramphastos sulfuratus,tucán pico canoa,CIUDAD DE MEXICO,Terrestre,Válido,-99.2042219,19.3901941
Selasphorus heloisa,zumbador mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",CIUDAD DE MEXICO,Terrestre,Válido,-99.1991347,19.4178989
Vireo nelsoni,vireo enano,CIUDAD DE MEXICO,Terrestre,Válido,-99.1952626,19.318614
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",CIUDAD DE MEXICO,Terrestre,Válido,-99.1262164,19.5723083
Campylorhynchus brunneicapillus,matraca del desierto,CIUDAD DE MEXICO,Terrestre,Válido,-99.16667,19.38333
Campylorhynchus megalopterus,matraca barrada,CIUDAD DE MEXICO,Terrestre,Válido,-99.2999804,19.3326681
Cathartes aura,zopilote aura,CIUDAD DE MEXICO,Terrestre,Válido,-99.1991347,19.4178989
Dives dives,tordo cantor,CIUDAD DE MEXICO,Terrestre,Válido,-99.1494444,19.3247222
Dryobates stricklandi,"carpintero de Strickland, carpintero transvolcánico",CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Elanus leucurus,milano cola blanca,CIUDAD DE MEXICO,Terrestre,Válido,-98.9836252,19.2587577
Geococcyx californianus,correcaminos norteño,CIUDAD DE MEXICO,Terrestre,Válido,-99.1816795,19.2293597
Lampornis amethystinus,colibrí garganta amatista,CIUDAD DE MEXICO,Terrestre,Válido,-99.3092361,19.3113778
Megascops kennicottii,"tecolote del oeste, tecolote occidental",CIUDAD DE MEXICO,Terrestre,Válido,-99.0933987,19.298103
Phoenicopterus ruber,flamenco americano,CIUDAD DE MEXICO,Dulceacuícola; Salobre,Válido,-99.2042219,19.3901941
Rallus tenuirostris,rascón azteca,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.0562575,19.2671058
Ridgwayia pinicola,"mirlo azteca, mirlo pinto",CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Rupornis magnirostris,aguililla caminera,CIUDAD DE MEXICO,Terrestre,Válido,-99.0957166,19.2886166
Sicalis luteola,gorrión canario sabanero,CIUDAD DE MEXICO,Terrestre,Válido,-99.1945043,19.3180338
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",CIUDAD DE MEXICO,Terrestre,Válido,-99.2066759,19.2923705
Toxostoma ocellatum,cuicacoche moteado,CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Trogon mexicanus,"coa mexicana, trogón mexicano",CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Turdus grayi,"mirlo café, mirlo pardo",CIUDAD DE MEXICO,Terrestre,Válido,-99.2738416,19.283555
Tyto alba,lechuza de campanario,CIUDAD DE MEXICO,Terrestre,Válido,-98.9898634,19.2611983
Aegolius ridgwayi,"tecolote canelo, tecolote oyamelero sureño",CIUDAD DE MEXICO,Terrestre,Válido,-99.15,19.4
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Campylorhynchus gularis,matraca serrana,CIUDAD DE MEXICO,Terrestre,Válido,-99.180622,19.47129
Cassiculus melanicterus,cacique mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.1363471,19.273214
Chlorospingus flavopectus,chinchinero común,CIUDAD DE MEXICO,Terrestre,Válido,-99.2592411,19.2959232
Colibri thalassinus,colibrí orejas violetas,CIUDAD DE MEXICO,Terrestre,Válido,-99.2566708,19.2950638
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Contopus pertinax,"papamoscas José María, pibí tengofrío",CIUDAD DE MEXICO,Terrestre,Válido,-99.1857801,19.3165304
Corvus corax,cuervo común,CIUDAD DE MEXICO,Terrestre,Válido,-99.3055058,19.3126662
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",CIUDAD DE MEXICO,Terrestre,Válido,-99.118491,19.3483692
Dendrocygna bicolor,pijije canelo,CIUDAD DE MEXICO,Dulceacuícola,Válido,-98.9749875,19.2593133
Dryobates scalaris,carpintero mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.1991347,19.4178989
Eupsittula canicularis,perico frente naranja,CIUDAD DE MEXICO,Terrestre,Válido,-99.1733333,19.325
Megascops trichopsis,tecolote rítmico,CIUDAD DE MEXICO,Terrestre,Válido,-99.205,19.2216667
Melanerpes aurifrons,carpintero cheje,CIUDAD DE MEXICO,Terrestre,Válido,-99.1928315,19.3149605
Melanerpes formicivorus,carpintero bellotero,CIUDAD DE MEXICO,Terrestre,Válido,-99.214808,19.275016
Myioborus miniatus,"chipe de montaña, pavito alas negras",CIUDAD DE MEXICO,Terrestre,Válido,-99.0903833,19.2947266
Peucaea botterii,zacatonero de Botteri,CIUDAD DE MEXICO,Terrestre,Válido,-99.0946902,19.2940002
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",CIUDAD DE MEXICO,Terrestre,Válido,-99.1685682,19.3416297
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",CIUDAD DE MEXICO,Terrestre,Válido,-99.1965722,19.2509662
Ramosomyia violiceps,colibrí corona violeta,CIUDAD DE MEXICO,Terrestre,Válido,-99.1934109,19.3161635
Sitta pygmaea,"bajapalos enano, sita enana",CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",CIUDAD DE MEXICO,Terrestre,Válido,-98.9749875,19.2593133
Aeronautes saxatalis,vencejo pecho blanco,CIUDAD DE MEXICO,Terrestre,Válido,-99.1272354,19.5791187
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",CIUDAD DE MEXICO,Terrestre,Válido,-99.1975694,19.2914718
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",CIUDAD DE MEXICO,Terrestre,Válido,-99.1934109,19.3161635
Asio stygius,búho cara oscura,CIUDAD DE MEXICO,Terrestre,Válido,-99.0833333,19.0833333
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Basileuterus belli belli,chipe ceja dorada,CIUDAD DE MEXICO,Terrestre,Válido,-99.2266667,19.305
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Buteo plagiatus,aguililla gris,CIUDAD DE MEXICO,Terrestre,Válido,-99.133085,19.281514
Cardellina versicolor,chipe rosado,CIUDAD DE MEXICO,Terrestre,Válido,-99.16667,19.38333
Catherpes mexicanus,"chivirín barranqueño, saltapared barranqueño",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Cyrtonyx montezumae,codorniz de Moctezuma,CIUDAD DE MEXICO,Terrestre,Válido,-99.2583333,19.2083333
Glaucidium gnoma,tecolote serrano,CIUDAD DE MEXICO,Terrestre,Válido,-99.2449989,19.3897757
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",CIUDAD DE MEXICO,Terrestre,Válido,-99.1201124,19.3959435
Icterus pectoralis,"bolsero pecho manchado, calandria pecho moteado",CIUDAD DE MEXICO,Terrestre,Válido,-99.1713888,19.3536111
Icterus wagleri,"bolsero de Wagler, calandria de Wagler",CIUDAD DE MEXICO,Terrestre,Válido,-99.1272354,19.5791187
Melanerpes hypopolius,"carpintero del balsas, carpintero pecho gris",CIUDAD DE MEXICO,Terrestre,Válido,-99.0965509,19.2938081
Pachyramphus major,"cabezón mexicano, mosquero-cabezón mexicano",CIUDAD DE MEXICO,Terrestre,Válido,-99.14644,19.2237801
Piaya cayana,"cuclillo canela, cuclillo canelo",CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Pionus senilis,loro corona blanca,CIUDAD DE MEXICO,Terrestre,Válido,-99.2999804,19.3326681
Poecile sclateri sclateri,carbonero mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.2666667,19.1483333
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Sitta carolinensis,"bajapalos pecho blanco, sita pecho blanco",CIUDAD DE MEXICO,Terrestre,Válido,-99.2507252,19.3007348
Spinus psaltria,"jilguerito dominico, jilguero dominico",CIUDAD DE MEXICO,Terrestre,Válido,-99.1991347,19.4178989
Sporophila torqueola,"semillero de collar, semillero rabadilla canela",CIUDAD DE MEXICO,Terrestre,Válido,-99.145805,19.519679
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",CIUDAD DE MEXICO,Terrestre,Válido,-98.9746928,19.2660737
Sturnus vulgaris,estornino pinto,CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Thryomanes bewickii,"chivirín cola oscura, saltapared cola larga",CIUDAD DE MEXICO,Terrestre,Válido,-99.186759,19.342077
Tilmatura dupontii,colibrí cola pinta,CIUDAD DE MEXICO,Terrestre,Válido,-99.118491,19.3483692
Cardellina rubra,chipe rojo,CIUDAD DE MEXICO,Terrestre,Válido,-99.2507252,19.3007348
Chloroceryle americana,martín pescador verde,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.0963364,19.2919773
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Cinclus mexicanus,mirlo acuático norteamericano,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.3055058,19.3126662
Coccothraustes vespertinus,picogrueso norteño,CIUDAD DE MEXICO,Terrestre,Válido,-99.1948271,19.1117179
Colinus virginianus,codorniz cotuí,CIUDAD DE MEXICO,Terrestre,Válido,-99.1250991,19.4220999
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",CIUDAD DE MEXICO,Dulceacuícola; Terrestre,Válido,-99.13,19.4266667
Grallaria guatimalensis,hormiguero cholino escamoso,CIUDAD DE MEXICO,Terrestre,Válido,-99.2583333,19.2083333
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Junco phaeonotus,junco ojos de lumbre,CIUDAD DE MEXICO,Terrestre,Válido,-99.2507252,19.3007348
Melanotis caerulescens,mulato azul,CIUDAD DE MEXICO,Terrestre,Válido,-99.1927028,19.2949422
Meleagris gallopavo,guajolote norteño,CIUDAD DE MEXICO,Terrestre,Válido,-99.0815651,19.1136794
Melozone fusca,"rascador viejita, toquí pardo",CIUDAD DE MEXICO,Terrestre,Válido,-98.9746928,19.2660737
Peucaea mystacalis,zacatonero embridado,CIUDAD DE MEXICO,Terrestre,Válido,-99.2933333,19.3452778
Peucedramus taeniatus,ocotero enmascarado,CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Pipilo ocai,"rascador de collar, toquí de collar",CIUDAD DE MEXICO,Terrestre,Válido,-99.235,19.1416667
Psittacara holochlorus,perico mexicano,CIUDAD DE MEXICO,Terrestre,Válido,-99.0485716,19.353993
Xenospiza baileyi,gorrión serrano,CIUDAD DE MEXICO,Terrestre,Válido,-99.0156555,19.1555466
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",CIUDAD DE MEXICO,Terrestre,Válido,-99.0879923,19.4764229
Cairina moschata,pato real,CIUDAD DE MEXICO,Dulceacuícola,Válido,-99.1991347,19.4178989
Cardinalis cardinalis,cardenal rojo,CIUDAD DE MEXICO,Terrestre,Válido,-99.195766,19.318407
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",CIUDAD DE MEXICO,Terrestre,Válido,-99.098584,19.2907936
Contopus cinereus,"papamoscas tropical, pibí tropical",CIUDAD DE MEXICO,Terrestre,Válido,-99.07167,19.34167
Cyanerpes cyaneus,"mielero pata roja, mielero patas rojas",CIUDAD DE MEXICO,Terrestre,Válido,-99.1990035,19.411035
Empidonax affinis,"mosquero pinero, papamoscas pinero",CIUDAD DE MEXICO,Terrestre,Válido,-99.1416667,19.3083333
Empidonax affinis affinis,mosquero pinero,CIUDAD DE MEXICO,Terrestre,Válido,-99.2833333,19.325
Geranoaetus albicaudatus,aguililla cola blanca,CIUDAD DE MEXICO,Terrestre,Válido,-99.0728188,19.2614819
