especievalida,nombrecomun,endemismo,longitud,latitud
Euptilotis neoxenus,"quetzal orejón, trogón orejón",Cuasiendémica,-108.163273,29.320693
Forpus cyanopygius,"perico catarina, periquito catarino",Endémica,-108.0783333,25.46
Forpus cyanopygius insularis,catarina de las Islas Marías,Endémica,-106.2416667,21.305
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",Endémica,-109.6914954,23.0485647
Geothlypis flavovelata,mascarita de Altamira,Endémica,-99.0440333,22.9511222
Geothlypis nelsoni,mascarita matorralera,Endémica,-98.03407,20.211076
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",Endémica,-99.4973373,19.1531034
Glaucidium palmarum,tecolote colimense,Endémica,-96.1680508,15.7369101
Glaucidium sanchezi,tecolote tamaulipeco,Endémica,-99.2587,23.2363
Granatellus venustus,granatelo mexicano,Endémica,-96.1492538,15.7766433
Granatellus venustus francescae,granatelo de las Islas Marías,Endémica,-106.2416667,21.305
Haemorhous mexicanus amplus,gorrión de Guadalupe,Endémica,-117.25,32.4333333
Haemorhous mexicanus mcgregori,gorrión de San Benito,Endémica,-115.5866667,28.305
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",Endémica,-118.26741,29.00015
Hydrobates melania,paíño negro,Semiendémica,-111.2557983,27.9689337
Hydrobates microsoma,paíño mínimo,Semiendémica,-111.2557983,27.9689337
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",Endémica,-93.4664655,16.9145437
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",Endémica,-96.8801082,18.624561
Icterus abeillei,"bolsero dorsioscuro, calandria flancos negros",Endémica,-101.3599994,20.684424
Icterus auratus,"bolsero yucateco, calandria dorso naranja",Cuasiendémica,-89.5609001,20.8180651
Icterus bullockii,"bolsero calandria, calandria cejas naranjas",Semiendémica,-100.1943898,17.4221123
Icterus cucullatus,"bolsero encapuchado, calandria dorso negro menor",Semiendémica,-89.0320753,18.4323762
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",Cuasiendémica,-100.1943898,17.4221123
Icterus parisorum,"bolsero tunero, calandria tunera",Semiendémica,-98.815118,18.927638
Icterus pustulatus graysonii,bolsero dorso rayado,Endémica,-106.2416667,21.305
Icterus spurius fuertesi,bolsero castaño,Endémica,-95.6333333,18.65
