familiavalida
Cotingidae
Columbidae
Onychorhynchidae
Cuculidae
Corvidae
Tytonidae
Ciconiidae
Caprimulgidae
Podicipedidae
Phaethontidae
Hydrobatidae
Certhiidae
Icteriidae
Sulidae
Phasianidae
Mimidae
Ardeidae
Passeridae
Cardinalidae
Pipridae
Laridae
Psittacidae
Gruidae
Troglodytidae
Thraupidae
Nyctibiidae
Picidae
Pelecanidae
Phoenicopteridae
Icteridae
Rhodinocichlidae
Fregatidae
Procellariidae
Diomedeidae
Anatidae
Spindalidae
Tityridae
Threskiornithidae
Ramphastidae
Charadriidae
Passerellidae
Strigidae
Emberizidae
Remizidae
Ptilogonatidae
Accipitridae
Stercorariidae
Sturnidae
Cinclidae
Anhingidae
Tinamidae
Trogonidae
Galbulidae
Vireonidae
Gaviidae
Momotidae
Phalacrocoracidae
Tyrannidae
Scolopacidae
Odontophoridae
Burhinidae
Apodidae
Calcariidae
Falconidae
Alcedinidae
Estrildidae
Sittidae
Sylviidae
Recurvirostridae
Peucedramidae
Aegithalidae
Fringillidae
Grallariidae
Alcidae
Bombycillidae
Heliornithidae
Ptiliogonatidae
Regulidae
Turdidae
Paridae
Haematopodidae
Thamnophilidae
Motacillidae
Aramidae
Furnariidae
Cracidae
Alaudidae
Psittaculidae
Formicariidae
Pandionidae
Hirundinidae
Cathartidae
Polioptilidae
Bucconidae
Trochilidae
Jacanidae
Laniidae
Parulidae
Rallidae
Oceanitidae
Numididae
Muscicapidae
Phylloscopidae
Podargidae
Eurypygidae
Coerebidae
Ploceidae
Coliidae
Monarchidae
