especievalida,nombrecomun,longitud,latitud
Chlorestes candida candida,colibrí cándido,-94.1333333,16.3866667
Chlorestes eliciae,zafiro garganta azul,-92.850105,15.592826
Chloroceryle aenea,martín pescador enano,-88.3196818,18.5067885
Chloroceryle amazona,martín pescador amazónico,-99.2978668,23.0203401
Chloroceryle americana,martín pescador verde,-109.5463004,28.4557269
Chlorophanes spiza,mielero verde,-91.9898987,17.3781632
Chlorophanes spiza guatemalensis,mielero verde,-91.3088056,16.1921111
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",-96.4243948,15.9462477
Chlorophonia occipitalis,clorofonia corona azul,-95.1468534,18.5228338
Chlorospingus flavopectus,chinchinero común,-100.1943898,17.4221123
Chondestes grammacus,gorrión arlequín,-109.928211,23.657133
Chondestes grammacus grammacus,gorrión arlequín,-99.5,17.55
Chondestes grammacus strigatus,gorrión arlequín,-99.5,17.55
Chondrohierax uncinatus,gavilán pico de gancho,-99.1195214,20.0073064
Chondrohierax uncinatus uncinatus,gavilán pico gancho,-105.59,23.0666667
Chordeiles acutipennis,chotacabras menor,-109.4380975,23.2440669
Chordeiles acutipennis littoralis,chotacabras menor,-95.0333333,16.8833333
Chordeiles acutipennis micromeris,chotacabras menor,-109.6833333,23.6333333
Chordeiles acutipennis texensis,chotacabras menor,-99.5,17.55
Chordeiles minor,chotacabras zumbón,-95,16.9266667
Chroicocephalus philadelphia,gaviota de Bonaparte,-113.5288954,31.2964638
Cinclus mexicanus,mirlo acuático norteamericano,-98.03407,20.211076
Circus cyaneus hudsonius,gavilán rastrero,-101.43,20.7183333
Circus hudsonius,gavilán rastrero,-100.581523,25.021968
Cistothorus palustris,"chivirín pantanero, saltapared pantanero",-99.4973373,19.1531034
Cistothorus palustris aestuarinus,chivirín pantanero,-110.25,24.15
Cistothorus palustris iliacus,chivirín pantanero,-101.6833333,19.6
Cistothorus palustris paludicola,chivirín pantanero,-109.6666667,23.55
Cistothorus palustris palustris,chivirín pantanero,-97.835,22.2516667
Cistothorus palustris plesius,chivirín pantanero,-101.12,27.8666667
Cistothorus palustris tolucensis,chivirín pantanero,-98.4,20.15
Cistothorus platensis,"chivirín sabanero, saltapared sabanero",-99.0156555,19.1555466
Cistothorus platensis elegans,chivirín de ciénega elegante,-96.9283333,19.545
Cistothorus platensis jalapensis,chivirín de ciénega elegante,-96.85,19.5166667
Cistothorus platensis potosinus,chivirín de ciénega elegante,-100.0216667,21.8516667
Cistothorus platensis tinnulus,chivirín de ciénega elegante,-101.6833333,19.6
Cistothorus platensis warneri,chivirín de ciénega elegante,-93.39,17.79
Cistothorus stellaris,chivirín de ciénega norteño,-100.0216667,21.8516667
Clangula hyemalis,pato cola larga,-116.6225123,31.8580587
Claravis pretiosa,tórtola azul,-89.0833,18.5
Clibanornis rubiginosus,"breñero rojizo, musguero castaño",-100.1943898,17.4221123
Coccothraustes abeillei,picogrueso encapuchado,-92.085257,15.086542
Coccothraustes vespertinus,picogrueso norteño,-99.505806,19.122159
Coccyzus americanus,cuclillo pico amarillo,-109.928211,23.657133
Coccyzus erythropthalmus,cuclillo pico negro,-89.5700288,20.9956834
Coccyzus minor,cuclillo manglero,-94.8912506,16.598907
Cochlearius cochlearius,garza cucharón,-102.7833333,18.0938889
Coereba flaveola,reinita mielera,-91.577934,16.967433
Coereba flaveola mexicana,reinita mielera,-91.3088056,16.1921111
Colaptes auratus,"carpintero de pechera, carpintero de pechera común",-97.4172547,18.9481856
Colaptes auratus cafer,carpintero de pechera,-103.6166667,19.6166667
Colaptes auratus collaris,carpintero de pechera,-112.84,31.8583333
Colaptes auratus mexicanoides,carpintero alirrojo guatemalteco,-91.6739065,16.0997026
Colaptes auratus mexicanus,carpintero de guadalupe,-103.455,20.71
Colaptes auratus nanus,carpintero de pechera,-101.4316667,25.6683333
Colaptes auratus rufipileus,carpintero de guadalupe,-118.2666667,29
Colaptes auricularis,carpintero corona gris,-100.1943898,17.4221123
Colaptes chrysoides,"carpintero collarejo, carpintero de pechera del noroeste",-109.544274,28.4573233
Colaptes rubiginosus,"carpintero olivo, carpintero oliváceo",-92.8918767,15.4802515
Colibri thalassinus,colibrí orejas violetas,-99.1195214,20.0073064
Colinus nigrogularis,codorniz yucateca,-89.0320753,18.4323762
Colinus virginianus,codorniz cotuí,-99.8870937,20.1947568
Colinus virginianus aridus,codorniz cotuí,-99.0133333,22.1233333
Colinus virginianus godmani,codorniz cotuí,-94.535,18.1566667
Colinus virginianus graysoni,codorniz cotuí,-101.8683333,21.8183333
Colinus virginianus maculatus,codorniz cotuí,-98.9667551,21.5959464
Colinus virginianus ridgwayi,codorniz cotuí,-110.235,28.41
Colinus virginianus texanus,codorniz cotuí,-97.835,22.2516667
Columba livia,paloma doméstica,-100.1943898,17.4221123
Columbina inca,"tortolita cola larga, tórtola cola larga",-100.1943898,17.4221123
Columbina minuta,"tortolita pecho liso, tórtola pecho liso",-94,17.75
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",-109.544274,28.4573233
Columbina talpacoti,"tortolita canela, tórtola rojiza",-95.01698,18.35812
Columbina talpacoti rufipennis,tórtola rojiza,-91.3097778,16.1940833
Contopus cinereus,"papamoscas tropical, pibí tropical",-89.0320753,18.4323762
Contopus cinereus brachytarsus,pibí tropical,-91.3088056,16.1921111
Contopus cooperi,"papamoscas boreal, pibí boreal",-93.646946,16.1749128
Contopus pertinax,"papamoscas José María, pibí tengofrío",-100.1943898,17.4221123
Contopus sordidulus,"papamoscas del oeste, pibí occidental",-109.544274,28.4573233
Contopus sordidulus peninsulae,pibí occidental,-109.8,23.465
Contopus sordidulus sordidulus,pibí occidental,-98.67,20.5683333
Contopus sordidulus veliei,pibí occidental,-99.0933333,18.9233333
Contopus virens,"papamoscas del este, pibí oriental",-93.09415,16.80234
Coragyps atratus,zopilote común,-95.01698,18.35812
Corthylio calendula,"reyezuelo de rojo, reyezuelo matraquita",-100.1943898,17.4221123
Corvus brachyrhynchos,"cuervo americano, cuervo norteamericano",-116.623832,31.8729203
Corvus corax,cuervo común,-114.4300045,28.8824166
Corvus cryptoleucus,cuervo llanero,-102.755127,28.9556669
Corvus imparatus,cuervo tamaulipeco,-97.7766478,23.7870218
Corvus ossifragus,cuervo tamaulipeco,-99.1383333,23.1616667
Corvus sinaloae,cuervo sinaloense,-105.3478389,20.9613568
Cotinga amabilis,cotinga azuleja,-91.579609,16.970338
Coturnicops noveboracensis,polluela amarilla,-99.51,19.1383333
Coturnicops noveboracensis goldmani,gallineta del Lerma,-99.5,19.25
Crax rubra,hocofaisán,-89.800128,18.241381
Crotophaga ani,garrapatero pico liso,-86.8533333,20.4783333
Crotophaga major,garrapatero mayor,-98.3416667,22.3916667
Crotophaga sulcirostris,garrapatero pijuy,-100.1943898,17.4221123
Crotophaga sulcirostris pallidula,garrapatero pijuy,-109.7066667,23.055
Crotophaga sulcirostris sulcirostris,garrapatero pijuy,-93.9833333,16.5833333
Crypturellus boucardi,tinamú jamuey,-95.1468534,18.5228338
Crypturellus boucardi boucardi,tinamú jamauey,-91.3086667,16.2011389
Crypturellus cinnamomeus,tinamú canelo,-100.1943898,17.4221123
Crypturellus cinnamomeus goldmani,tinamú canelo,-91.2991389,16.2030556
Crypturellus cinnamomeus occidentalis,perdiz canela nayarita,-105.7766667,22.8316667
Crypturellus soui,tinamú menor,-91.577934,16.967433
Cyanerpes cyaneus,"mielero pata roja, mielero patas rojas",-100.1943898,17.4221123
Cyanerpes cyaneus carneipes,mielero pata roja,-95.2166667,17.8
Cyanerpes lucidus,"mielero brillante, mielero patas amarillas",-92.3166667,15.15
Cyanocitta cristata,chara azul,-92.6702804,16.7249069
Cyanocitta stelleri,"chara copetona, chara crestada",-98.03407,20.211076
Cyanocitta stelleri azteca,chara crestada,-99.2833333,19.325
Cyanocitta stelleri coronata,chara crestada,-99.5,17.55
Cyanocitta stelleri diademata,chara crestada,-105.4166667,23.7766667
Cyanocitta stelleri macrolopha,chara crestada,-106.8166667,29.4333333
Cyanocitta stelleri purpurea,chara crestada,-99.2383333,19.0933333
Cyanocompsa parellina,colorín azulnegro,-95.01698,18.35812
Cyanocompsa parellina parellina,colorín azul negro,-91.3019444,16.2021944
Cyanocorax beecheii,"chara de Beechy, chara sinaloense",-108.946781,27.043627
Cyanocorax dickeyi,chara pinta,-105.837406,23.480019
Cyanocorax sanblasianus,chara de San Blas,-105.0348185,19.4473107
Cyanocorax sanblasianus nelsoni,chara de San Blas,-104.32,19.0216667
Cyanocorax sanblasianus sanblasianus,chara de San Blas,-103.965,18.9333333
Cyanocorax yncas,chara verde,-100.1943898,17.4221123
Cyanocorax yncas guatimalensis,chara verde,-88.5783333,20.6683333
Cyanocorax yucatanicus,chara yucateca,-89.9012736,18.5338613
Cyanocorax yucatanicus rivularis,chara yucateca,-89.455,18.5066667
Cyanocorax yucatanicus yucatanicus,chara yucateca,-88.7233333,20.6683333
Cyanoloxia cyanoides,"picogordo azulnegro, picogordo negro",-91.9898987,17.3781632
Cyanolyca cucullata,chara gorro azul,-97.0159721,19.5298923
Cyanolyca mirabilis,chara garganta blanca,-100.1943898,17.4221123
Cyanolyca nanus,chara enana,-96.640509,17.197801
Cyanolyca pumilo,chara de niebla,-92.573715,16.66719
Cyclarhis gujanensis,"vireón ceja rufa, vireón cejas canela",-89.5540482,21.0237991
Cygnus buccinator,cisne trompetero,-97.500288,25.8836913
Cygnus columbianus,cisne de tundra,-115.9249783,31.6752478
Cygnus columbianus columbianus,cisne de tundra,-116.1608594,32.4345135
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",-100.1943898,17.4221123
Cynanthus canivetii,"esmeralda oriental, esmeralda tijereta",-98.947105,22.0814097
Cynanthus forficatus,"esmeralda de Cozumel, esmeralda de Isla Cozumel",-87.01397,20.40559
Cynanthus latirostris,colibrí pico ancho,-109.544274,28.4573233
Cypseloides niger,vencejo negro,-96.0906816,19.0674862
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",-100.0429373,19.0444481
Cyrtonyx montezumae,codorniz de Moctezuma,-107.1130085,29.2594112
Cyrtonyx montezumae mearnsi,codorniz moctezuma,-108.3833333,26.9916667
Cyrtonyx montezumae merriami,codorniz moctezuma,-97.2616667,19.0616667
Cyrtonyx montezumae montezumae,codorniz moctezuma,-104.9233333,23.7766667
Cyrtonyx montezumae sallei,codorniz de salle,-99.895,17.3466667
Cyrtonyx ocellatus,codorniz ocelada,-92.474119,16.545467
Dactylortyx thoracicus,codorniz silbadora,-93.00521,15.8425
Dactylortyx thoracicus chiapensis,codorniz silbadora,-92.6,15.4333333
Dactylortyx thoracicus devius,codorniz silbadora,-103.425,20.5366667
Dactylortyx thoracicus sharpei,codorniz silbadora,-88.5683333,20.7666667
Dactylortyx thoracicus thoracicus,codorniz silbadora,-96.9283333,19.545
Dendrocincla anabatina,trepatroncos sepia,-95.1468534,18.5228338
Dendrocincla anabatina anabatina,trepatroncos sepia,-91.3060556,16.2063611
Dendrocincla homochroa,"trepatroncos canelo, trepatroncos rojizo",-90.2985587,17.98888
Dendrocincla homochroa homochroa,trepatroncos rojizo,-91.3080556,16.1906389
Dendrocolaptes picumnus,trepatroncos vientre barrado,-91.5083333,16.4958333
Dendrocolaptes sanctithomae,trepatroncos barrado,-95.1468534,18.5228338
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",-87.084185,20.618312
Dendrocygna bicolor,pijije canelo,-91.9952202,17.7202149
Dendrortyx barbatus,codorniz coluda veracruzana,-98.03407,20.211076
Dendrortyx leucophrys,codorniz coluda centroamericana,-92.085257,15.086542
Dendrortyx macroura,codorniz coluda transvolcánica,-100.1943898,17.4221123
Dendrortyx macroura griseipectus,codorniz-coluda neovolcánica,-100.1333333,17.4833333
Dendrortyx macroura inesperatus,codorniz-coluda neovolcánica,-96.4666667,16.1033333
Dendrortyx macroura oaxacae,codorniz-coluda neovolcánica,-96.3233333,17.7216667
Dendrortyx macroura striatus,codorniz-coluda neovolcánica,-101.6133333,19.5233333
Diglossa baritula,"picaflor canelo, picochueco vientre canela",-100.1943898,17.4221123
Dives dives,tordo cantor,-95.01698,18.35812
Dolichonyx oryzivorus,tordo arrocero,-87.6154974,20.0784255
Doricha eliza,"colibrí cola hendida, colibrí tijereta mexicano",-87.7436041,21.5312705
Doricha enicura,"colibrí tijereta, colibrí tijereta guatemalteco",-92.474119,16.545467
Dromococcyx phasianellus,cuclillo faisán,-93.105829,16.8292874
Dryobates arizonae,carpintero de Arizona,-103.5252348,20.6998431
Dryobates fumigatus,carpintero café,-100.1943898,17.4221123
Dryobates nuttallii,carpintero californiano,-115.735,30.97
Dryobates pubescens,carpintero albinegro menor,-116.9049597,32.202071
Dryobates scalaris,carpintero mexicano,-103.389442,20.657566
Dryobates scalaris scalaris,carpintero mexicano,-96.9283333,19.545
Dryobates stricklandi,"carpintero de Strickland, carpintero transvolcánico",-99.7747421,19.1110448
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",-104.242,23.3858
Dryocopus lineatus,carpintero lineado,-100.1943898,17.4221123
Dryocopus lineatus scapularis,carpintero lineado,-105.7166667,23.2
Dryocopus lineatus similis,carpintero lineado,-91.3091944,16.1926389
Dumetella carolinensis,maullador gris,-89.0320753,18.4323762
Dysithamnus mentalis,hormiguero sencillo,-91.192916,16.248622
Dysithamnus mentalis septentrionalis,hormiguero sencillo,-91.0833333,18.2166667
Ectopistes migratorius,paloma migratoria,-97.1,18.85
Egretta caerulea,"garceta azul, garza azul",-99.4973373,19.1531034
Egretta rufescens,"garceta rojiza, garza rojiza",-111.2332262,25.7185884
Egretta rufescens dickeyi,garceta rojiza,-94.95,16.5666667
Egretta rufescens rufescens,garceta rojiza,-110.5833333,25
Egretta thula,"garceta pie-dorado, garza dedos dorados",-86.9611948,20.7597896
Egretta thula brewsteri,garceta pie-dorado,-110.5916667,27.3166667
Egretta thula thula,garceta pie-dorado,-98.5833333,16.3666667
Egretta tricolor,"garceta tricolor, garza tricolor",-103.5259514,29.1354998
Egretta tricolor occidentalis,garceta tricolor,-114,27.7541667
Egretta tricolor ruficollis,garceta tricolor,-95.55,18.6666667
Elaenia flavogaster,"elenia vientre amarillo, mosquero elenia copetón",-95.01698,18.35812
Elaenia flavogaster subpagana,elenia vientre amarillo,-91.0833333,18.2166667
Elaenia frantzii,mosquero elenia de montaña,-93.1270873,17.1756392
Elaenia martinica,"elenia caribeña, mosquero elenia caribeño",-86.96811,20.4879092
Elanoides forficatus,milano tijereta,-91.6739065,16.0997026
Elanus leucurus,milano cola blanca,-105.4627488,28.2696381
Elanus leucurus leucurus,milano cola blanca,-95.0833333,18.4166667
Elanus leucurus majusculus,milano cola blanca,-94.95,16.5666667
Electron carinatum,"momoto pico quilla, momoto pico quillado",-95.4333333,18.3833333
Emberiza pusilla,escribano pigmeo,-114.4738353,27.5377205
Empidonax affinis,"mosquero pinero, papamoscas pinero",-99.2333333,18.945
Empidonax affinis affinis,mosquero pinero,-99.2833333,19.325
Empidonax affinis bairdi,mosquero pinero,-99.1983333,19.1033333
Empidonax affinis pulverius,mosquero pinero,-108.3833333,26.9916667
Empidonax affinis trepidus,mosquero pinero,-92.6166667,16.6583333
Empidonax affinis vigensis,mosquero pinero,-97.1166667,19.6333333
Empidonax albigularis,"mosquero garganta blanca, papamoscas garganta blanca",-101.665324,19.675089
Empidonax albigularis albigularis,mosquero garganta blanca,-99.3316667,18.735
Empidonax albigularis timidus,mosquero garganta blanca,-96.0783333,18.1416667
Empidonax alnorum,"mosquero ailero, papamoscas ailero",-94.4886179,17.9782474
Empidonax difficilis,"mosquero californiano, papamoscas amarillo del pacífico",-100.1943898,17.4221123
Empidonax difficilis cineritius,mosquero californiano,-109.6016667,23.0883333
Empidonax difficilis insulicola,mosquero californiano,-106.4133333,21.4533333
Empidonax flavescens,"mosquero amarillento, papamoscas amarillo sureño",-95.1468534,18.5228338
Empidonax flaviventris,"mosquero vientre amarillo, papamoscas vientre amarillo",-95.01698,18.35812
Empidonax fulvifrons,"mosquero pecho leonado, papamoscas pecho canela",-104.242,23.3858
Empidonax hammondii,"mosquero de Hammond, papamoscas de Hammond",-100.1943898,17.4221123
Empidonax minimus,"mosquero mímimo, papamoscas chico",-100.1943898,17.4221123
Empidonax oberholseri,"mosquero oscuro, papamoscas matorralero",-103.518863,19.533456
Empidonax occidentalis,"mosquero barranqueño, papamoscas amarillo barranqueño",-100.1943898,17.4221123
Empidonax occidentalis hellmayri,mosquero californiano,-105.8133333,23.465
Empidonax traillii,"mosquero saucero, papamoscas saucero",-113.5321021,31.3265914
Empidonax traillii adastus,mosquero saucero,-102.8666667,26.2166667
Empidonax traillii brewsteri,mosquero saucero,-108.0783333,25.46
Empidonax traillii extimus,mosquero saucero,-92.725,15.0416667
Empidonax traillii traillii,mosquero saucero,-105.8566667,22.9916667
Empidonax virescens,"mosquero verdoso, papamoscas verdoso",-92.7310708,15.7280218
Empidonax wrightii,"mosquero gris, papamoscas bajacolita",-109.928211,23.657133
Eremophila alpestris,alondra cornuda,-100.581523,25.021968
Eremophila alpestris enertera,alondra cornuda,-115.485,30.0416667
Eucometis penicillata,tangara cabeza gris,-88.501106,20.574057
Eucometis penicillata pallida,tángara cabeza gris,-91.3085278,16.1917778
Eudocimus albus,ibis blanco,-97.719033,20.0042942
Eugenes fulgens,colibrí magnífico,-98.815118,18.927638
Eumomota superciliosa,"momoto ceja azul, momoto cejas azules",-89.504138,21.055955
Eumomota superciliosa bipartita,momoto ceja azul,-92.38,15.0183333
Eumomota superciliosa superciliosa,momoto ceja azul,-88.5366667,20.67
Euphagus carolinus,tordo canadiense,-117.0537472,32.3312382
Euphagus cyanocephalus,"tordo ojo amarillo, tordo ojos amarillos",-108.0783333,25.46
Eupherusa cyanophrys,"colibrí miahuatleco, colibrí oaxaqueño",-96.4243948,15.9462477
Eupherusa eximia,colibrí cola rayada,-96.3405674,17.6638143
Eupherusa eximia eximia,colibrí cola rayada,-91.3065833,16.2028889
Eupherusa eximia nelsoni,colibrí cola rayada,-96.33,17.6716667
Eupherusa poliocerca,"colibrí cola blanca, colibrí guerrerense",-100.1943898,17.4221123
Eupherusa ridgwayi,ninfa mexicana,-104.929693,20.782789
Euphonia affinis,eufonia garganta negra,-92.8918767,15.4802515
Euphonia affinis affinis,eufonia garganta negra,-92.42,14.7166667
Euphonia affinis godmani,eufonia garganta negra,-101.9833333,18.0833333
Euphonia affinis olmecorum,eufonia garganta negra,-95.235,16.3266667
Euphonia godmani,eufonia garganta negra,-103.7424167,18.6990278
Euphonia gouldi,eufonia olivácea,-95.1468534,18.5228338
Euphonia gouldi gouldi,eufonia olivácea,-95.9333333,17.45
Euphonia hirundinacea,eufonia garganta amarilla,-87.4406214,20.2383617
Euphonia hirundinacea caribbaea,eufonia garganta amarilla,-95.0333333,17.2233333
Euphonia hirundinacea hirundinacea,eufonia garganta amarilla,-95.9333333,17.45
Euphonia minuta,eufonia vientre blanco,-90.7088498,16.6108612
Eupsittula canicularis,perico frente naranja,-100.1943898,17.4221123
Eupsittula nana,perico pecho sucio,-89.0320753,18.4323762
Euptilotis neoxenus,"quetzal orejón, trogón orejón",-108.163273,29.320693
Falco columbarius,halcón esmerejón,-113.5288954,31.2964638
Falco columbarius columbarius,halcón esmerejón,-108.0783333,25.46
Falco columbarius richardsonii,halcón esmerejón,-98.3166667,22.7166667
Falco femoralis,halcón fajado,-98.314091,22.077748
Falco mexicanus,halcón mexicano,-100.581523,25.021968
Falco peregrinus,halcón peregrino,-114.4300045,28.8824166
Falco peregrinus anatum,halcón peregrino,-100.845,25.3283333
Falco rufigularis,"halcón enano, halcón murcielaguero",-100.1943898,17.4221123
Falco sparverius,cernícalo americano,-100.1943898,17.4221123
Florisuga mellivora,"colibrí capucha azul, colibrí nuca blanca",-92.8918767,15.4802515
Florisuga mellivora mellivora,colibrí nuca blanca,-93.5233333,16.0866667
Formicarius moniliger,hormiguero cholino maya,-91.577934,16.967433
Formicarius moniliger moniliger,hormiguero-gallito mexicano,-91.3078333,16.2011667
Forpus cyanopygius,"perico catarina, periquito catarino",-108.0783333,25.46
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,-106.2866667,23.7661111
Forpus cyanopygius insularis,catarina de las Islas Marías,-106.2416667,21.305
Fratercula cirrhata,frailecillo copetón,-115.455,30.1933333
Fregata magnificens,"fragata magnífica, fragata tijereta",-99.7637598,16.748347
Fregata minor,fragata pelágica,-112.4833333,20.1833333
Fregata minor palmerstoni,fragata pelágica,-110.8166667,19.3
Fulica americana,gallareta americana,-104.0261225,18.8966598
Fulmarus glacialis,fulmar norteño,-115.2693061,27.5563515
Fulmarus glacialis rodgersii,fulmar norteño,-117.25,32.4333333
Fulmarus glacialoides,flumar antártico,-118.26,28.7
Galbula ruficauda,"jacamar cola canela, jacamar cola rufa",-94.9,18.5166667
Galbula ruficauda melanogenia,jacamar cola rufa,-91.0730556,16.0789722
Gallinago delicata,"agachona común, agachona norteamericana",-99.4973373,19.1531034
Gallinula galeata,gallineta frente roja,-99.4973373,19.1531034
Gavia adamsii,"colimbo de Adams, colimbo pico amarillo",-114.0586853,27.7032015
Gavia arctica,colimbo ártico,-110.898915,27.9185669
Gavia immer,"colimbo común, colimbo mayor",-109.2345923,26.405194
Gavia pacifica,"colimbo del pacífico, colimbo pacífico",-109.2345923,26.405194
Gavia stellata,colimbo menor,-116.6287146,31.753972
Gelochelidon nilotica,charrán pico grueso,-87.7436041,21.5312705
Geococcyx californianus,correcaminos norteño,-103.5738524,25.8777308
Geococcyx velox,correcaminos tropical,-89.6492958,20.2779781
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",-109.6914954,23.0485647
Geothlypis flavovelata,mascarita de Altamira,-99.0440333,22.9511222
Geothlypis formosa,chipe patilludo,-95.01698,18.35812
Geothlypis nelsoni,mascarita matorralera,-98.03407,20.211076
Geothlypis philadelphia,"chipe de pechera, chipe enlutado",-99.1033333,23.0933333
Geothlypis poliocephala,mascarita pico grueso,-89.0320753,18.4323762
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",-99.4973373,19.1531034
Geothlypis tolmiei,"chipe de Tolmie, chipe lores negros",-100.1943898,17.4221123
Geothlypis tolmiei monticola,chipe de Tolmie,-107.2833333,31.1333333
Geothlypis trichas,mascarita común,-89.0320753,18.4323762
Geothlypis trichas occidentalis,mascarita común,-91.3097778,16.2020833
Geotrygon montana,"paloma canela, paloma-perdiz rojiza",-92.8918767,15.4802515
Geotrygon montana montana,paloma-perdiz rojiza,-105.16,21.5283333
Geranoaetus albicaudatus,aguililla cola blanca,-91.9952202,17.7202149
Geranospiza caerulescens,gavilán zancón,-89.9012736,18.5338613
Glaucidium brasilianum,tecolote bajeño,-89.0320753,18.4323762
Glaucidium gnoma,tecolote serrano,-99.5689631,21.1376666
Glaucidium griseiceps,tecolote mesoamericano,-96.3405674,17.6638143
Glaucidium palmarum,tecolote colimense,-96.1680508,15.7369101
Glaucidium sanchezi,tecolote tamaulipeco,-99.2587,23.2363
Glyphorynchus spirurus,trepatroncos pico cuña,-95.1468534,18.5228338
Grallaria guatimalensis,hormiguero cholino escamoso,-92.474119,16.545467
Grallaria guatimalensis guatimalensis,hormiguero-cholino escamoso,-92.0933333,16.9016667
Grallaria guatimalensis ochraceiventris,hormiguero mexicano,-100.2,17.4166667
Granatellus sallaei,granatelo yucateco,-88.501106,20.574057
Granatellus sallaei boucardi,granatelo yucateco,-90.6466667,18.58
Granatellus sallaei sallaei,granatelo yucateco,-96.4833333,18.2
Granatellus venustus,granatelo mexicano,-96.1492538,15.7766433
Granatellus venustus francescae,granatelo de las Islas Marías,-106.2416667,21.305
Granatellus venustus venustus,granatelo mexicano,-105.78,22.985
Grus americana,grulla blanca,-98.0566667,25.12
Gygis alba,charrán blanco,-110.9901953,18.7331083
Gymnogyps californianus,cóndor californiano,-115.6101406,30.9651247
Gymnorhinus cyanocephalus,chara piñonera,-115.30667,30.78667
Habia fuscicauda,"piranga hormiguera garganta roja, tangara-hormiguera garganta roja",-89.9012736,18.5338613
Habia rubica,"piranga hormiguera corona roja, tangara-hormiguera corona roja",-100.1943898,17.4221123
Habia rubica rubicoides,tángara-hormiguera corona roja,-91.0730556,16.0789722
Haematopus bachmani,ostrero negro,-114.1785049,27.8032469
Haematopus palliatus,ostrero americano,-97.7375,23.7916667
Haemorhous cassinii,"pinzón de Cassin, pinzón serrano",-107.8166667,28.95
Haemorhous mexicanus,pinzón mexicano,-99.0277157,19.2645383
Haemorhous mexicanus amplus,gorrión de Guadalupe,-117.25,32.4333333
Haemorhous mexicanus mcgregori,gorrión de San Benito,-115.5866667,28.305
Haemorhous purpureus,"pinzón colorado, pinzón purpúreo",-116.413064,31.5807747
Haliaeetus leucocephalus,águila cabeza blanca,-109.721219,29.310244
Hapalocrex flaviventer,polluela pecho amarillo,-94.087888,17.8998085
Haplospiza rustica,semillero pizarra,-93.6666667,17
Haplospiza rustica uniformis,semillero pizarra,-92.11,15.1316667
Harpagus bidentatus,gavilán bidentado,-100.1943898,17.4221123
Harpagus bidentatus fasciatus,gavilán bidentado,-91.3028611,16.2015278
Harpia harpyja,águila arpía,-90.940876,16.111792
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",-100.1943898,17.4221123
Heliomaster constantii leocadiae,colibrí pico largo,-99.5,17.55
Heliomaster constantii pinicola,colibrí picudo,-105.03,21.6433333
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",-94.8912506,16.598907
Heliomaster longirostris pallidiceps,colibrí pico largo,-97.1833333,16.1
Heliornis fulica,pájaro cantil,-92.4204254,18.3080847
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",-89.3645047,17.9672613
Helmitheros vermivorum,chipe gusanero,-93.4158553,16.8591653
Henicorhina leucophrys,"chivirín pecho gris, saltapared pecho gris",-100.1943898,17.4221123
Henicorhina leucophrys capitalis,chivirín pecho gris,-92.8333333,15.6166667
Henicorhina leucophrys castanea,chivirín pecho gris,-91.4366667,16.8116667
Henicorhina leucophrys festiva,chivirín pecho gris,-99.6666667,17.5
Henicorhina leucophrys mexicana,chivirín pecho gris,-96.9283333,19.545
Henicorhina leucophrys minuscula,chivirín pecho gris,-104.3,19.6216667
Henicorhina leucosticta,"chivirín pecho blanco, saltapared pecho blanco",-91.577934,16.967433
Henicorhina leucosticta prostheleuca,chivirín pecho blanco,-95.2166667,17.8
Herpetotheres cachinnans,halcón guaco,-100.1943898,17.4221123
Herpetotheres cachinnans cachinnans,halcón guaco,-91.0876944,16.0834722
Herpetotheres cachinnans chapmani,halcón guaco,-100.7533333,19.0483333
Himantopus mexicanus,"candelero americano, monjita americana",-97.7375,23.7916667
Hirundo rustica,"golondrina común, golondrina tijereta",-101.0025846,25.4208434
Histrionicus histrionicus,pato arlequín,-113.5469,28.9793
Hydrobates castro,paíño de Harcourt,-93.8,13.6167
Hydrobates cheimomnestes,paíño de Ainley,-118.287216,28.905663
Hydrobates furcatus,paíño gris,-118.2666667,29
Hydrobates homochroa,paíño cenizo,-116.1166667,30.5
Hydrobates leucorhous,paíño de Leach,-117.98483,29.698
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",-118.26741,29.00015
Hydrobates melania,paíño negro,-111.2557983,27.9689337
Hydrobates microsoma,paíño mínimo,-111.2557983,27.9689337
Hydrobates socorroensis,paíño de Townsend,-118.335,29
Hydrobates tethys,paíño de Galápagos,-96.234524,15.476918
Hydrocoloeus minutus,gaviota menor,-97.1484947,25.9482821
Hydroprogne caspia,"charrán caspia, charrán del caspio",-99.7637598,16.748347
Hydropsalis maculicaudus,"tapacamino cola pinta, tapacaminos sabanero",-94,17.75
