especievalida,nombrecomun,longitud,latitud
Antrostomus badius,"tapacamino huil, tapacaminos yucateco",-86.9159475,20.8526565
Antrostomus carolinensis,"tapacamino de Carolina, tapacaminos de carolina",-94,17.75
Antrostomus ridgwayi,"tapacamino tu-cuchillo, tapacaminos tucuchillo",-105.1196864,20.753688
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",-91.584886,16.980111
Antrostomus vociferus,tapacaminos cuerporruín norteño,-100.2833333,25.5333333
Aphelocoma californica,chara californiana,-116.6790193,31.8921262
Aphelocoma californica cactophila,chara occidental,-112.18,27.1683333
Aphelocoma californica californica,chara occidental,-109.6016667,23.0883333
Aphelocoma californica hypoleuca,chara occidental,-114.1733333,29.0366667
Aphelocoma californica obscura,chara occidental,-115.7666667,31.3883333
Aphelocoma coerulescens,chara de Florida,-104.6516667,23.3083333
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",-99.249065,19.009524
Aphelocoma ultramarina colimae,chara pecho gris,-103.5333333,19.57
Aphelocoma ultramarina ultramarina,chara pecho gris,-96.9283333,19.545
Aphelocoma unicolor,chara unicolor,-100.1943898,17.4221123
Aphelocoma unicolor concolor,chara unicolor,-98.6066667,20.985
Aphelocoma unicolor guerrerensis,chara unicolor,-100.2,17.4833333
Aphelocoma unicolor oaxacae,chara unicolor,-95,17.2166667
Aphelocoma unicolor unicolor,chara unicolor,-92.0933333,16.9016667
Aphelocoma wollweberi,chara pecho gris,-102.7214072,21.7216511
Aphelocoma wollweberi arizonae,chara de Wollweber,-107.9166667,30.4166667
Aphelocoma woodhouseii,chara de collar,-101.1433333,23.2957992
Aquila chrysaetos,águila real,-100.581523,25.021968
Aquila chrysaetos canadensis,águila real,-112.8166667,28.65
Ara macao,guacamaya roja,-92.65,15.35
Ara militaris,guacamaya verde,-102.2227777,18.5430558
Aramides albiventris,rascón nuca canela,-88.3018971,18.493776
Aramides axillaris,"rascón cuello canela, rascón cuello rufo",-105.246459,21.528242
Aramus guarauna,carrao,-88.2353052,18.8797935
Aramus guarauna dolosus,carao,-95.6333333,18.6333333
Archilochus alexandri,colibrí barba negra,-105.4724853,20.3953046
Archilochus colubris,colibrí garganta rubí,-100.1943898,17.4221123
Ardea alba,garza blanca,-89.0320753,18.4323762
Ardea alba egretta,garza blanca,-99.1833333,24.0166667
Ardea herodias,garza morena,-101.1582096,19.648509
Ardea herodias herodias,garza morena,-114.4266667,29.965
Ardea herodias santilucae,garza morena,-110,27.09
Ardenna bulleri,pardela de Buller,-117.305961,32.214524
Ardenna carneipes,pardela patas pálidas,-109.25,22.2333
Ardenna creatopus,pardela patas rosadas,-111.2557983,27.9689337
Ardenna gravis,pardela mayor,-87.679503,21.514806
Ardenna grisea,pardela gris,-111.2557983,27.9689337
Ardenna pacifica,pardela cola cuña,-96.234524,15.476918
Ardenna tenuirostris,pardela cola corta,-100.2667,16.85
Arenaria interpres,vuelvepiedras rojizo,-97.7375,23.7916667
Arenaria melanocephala,vuelvepiedras negro,-113.5321021,31.3265914
Arremon aurantiirostris,rascador pico naranja,-94.3,17.15
Arremon brunneinucha,"atlapetes gorra castaña, rascador gorra castaña",-100.1943898,17.4221123
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",-102.007923,19.490593
Arremonops chloronotus,rascador dorso verde,-86.7262085,21.2276851
Arremonops chloronotus chloronotus,rascador dorso verde,-91.3075,16.1900278
Arremonops rufivirgatus,rascador oliváceo,-100.1943898,17.4221123
Artemisiospiza belli,zacatonero californiano,-115.996292,30.461875
Artemisiospiza nevadensis,zacatonero de artemisas,-113.4333468,31.2874132
Asio clamator,"búho cara blanca, búho cara clara",-92.5560716,15.0554438
Asio flammeus,"búho cuerno corto, búho sabanero",-114.580252,30.032752
Asio flammeus flammeus,búho cuerno corto,-98.745,20.125
Asio otus,"búho cara café, búho cara canela",-102.233884,22.348508
Asio otus wilsonianus,búho cara café,-114.25,28.7166667
Asio stygius,búho cara oscura,-103.5403837,19.53381
Asio stygius lambi,búho cara oscura,-99.7,17.55
Aspatha gularis,momoto garganta azul,-92.10799,15.09471
Athene cunicularia,tecolote llanero,-100.581523,25.021968
Atlapetes albinucha,"atlapetes nuca blanca, rascador nuca blanca",-98.03407,20.211076
Atlapetes albinucha albinucha,atlapetes nuca blanca,-97.02,19.4183333
Atlapetes albinucha gutturalis,atlapetes garganta amarilla,-93.55,16.1183333
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",-103.518863,19.533456
Atlapetes pileatus dilutus,atlapetes gorra rufa,-97.87,23.595
Atlapetes pileatus pileatus,atlapetes gorra rufa,-97.02,19.4183333
Atticora pileata,golondrina gorra negra,-92.0902778,15.075
Attila spadiceus,"Atila, mosquero atila",-96.4243948,15.9462477
Attila spadiceus cozumelae,atila,-86.9416667,20.5066667
Attila spadiceus gaumeri,atila,-90.6466667,18.58
Attila spadiceus pacificus,atila,-100.04,19.0433333
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",-100.1943898,17.4221123
Aulacorhynchus prasinus prasinus,tucaneta verde,-91.3065833,16.2008333
Auriparus flaviceps,baloncillo,-109.544274,28.4573233
Auriparus flaviceps acaciarum,baloncillo,-114.8,32.55
Auriparus flaviceps flaviceps,baloncillo,-109.7833333,23.45
Auriparus flaviceps hidalgensis,baloncillo,-98.6316667,20.465
Auriparus flaviceps lamprocephalus,baloncillo,-116.795,32.3633333
Auriparus flaviceps ornatus,baloncillo,-102.15,22.2233333
Automolus ochrolaemus,"breñero garganta pálida, musguero garganta pálida",-95.1468534,18.5228338
Automolus ochrolaemus cervinigularis,breñero garganta pálida,-93.72,16.6916667
Aythya affinis,pato boludo menor,-104.8109772,21.5174243
