especievalida,nombrecomun,category,status,longitud,latitud
Ramphocaenus melanurus rufiventris,soterillo picudo,iucn,Preocupación menor (lc),-91.3101389,16.2019444
Ramphocaenus melanurus,"saltón picudo, soterillo picudo",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Ramphastos sulfuratus sulfuratus,tucán pico de canoa,cites,Apéndice II,-91.3078333,16.2024444
Ramphastos sulfuratus sulfuratus,tucán pico de canoa,iucn,Casi amenazado (NT),-91.3078333,16.2024444
Ramphastos sulfuratus sulfuratus,tucán pico de canoa,nom059,Amenazada (A),-91.3078333,16.2024444
Ramphastos sulfuratus,tucán pico canoa,cites,Apéndice II,-95.01698,18.35812
Ramphastos sulfuratus,tucán pico canoa,iucn,Casi amenazado (NT),-95.01698,18.35812
Ramphastos sulfuratus,tucán pico canoa,nom059,Amenazada (A),-95.01698,18.35812
Ramosomyia viridifrons,colibrí frente verde,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Leucolia viridifrons (ver relaciones de sinonimia).),-93.646946,16.1749128
Ramosomyia viridifrons,colibrí frente verde,cites,Apéndice II (El nombre publicado en CITES 2022 es Amazilia viridifrons (ver relaciones de sinonimia).),-93.646946,16.1749128
Ramosomyia viridifrons,colibrí frente verde,nom059,Amenazada (A) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Amazilia viridifrons (ver relaciones de sinonimia).),-93.646946,16.1749128
Ramosomyia violiceps,colibrí corona violeta,cites,Apéndice II (El nombre publicado en CITES 2022 es Amazilia violiceps (ver relaciones de sinonimia).),-103.3946993,20.7082516
Ramosomyia violiceps,colibrí corona violeta,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Leucolia violiceps (ver relaciones de sinonimia).),-103.3946993,20.7082516
Rallus tenuirostris,rascón azteca,nom059,En peligro de extinción (P),-103.2832499,20.404625
Rallus tenuirostris,rascón azteca,iucn,Casi amenazado (NT),-103.2832499,20.404625
Rallus obsoletus,rascón costero del Pacífico,iucn,Casi amenazado (NT),-109.2345923,26.405194
Rallus limicola limicola,rascón limícola,iucn,Preocupación menor (lc),-116.0166667,30.75
Rallus limicola limicola,rascón limícola,nom059,Amenazada (A),-116.0166667,30.75
Rallus limicola friedmanni,rascón limícola,iucn,Preocupación menor (lc),-93.1116667,16.73
Rallus limicola friedmanni,rascón limícola,nom059,Amenazada (A),-93.1116667,16.73
Rallus limicola,"rascón cara gris, rascón limícola",nom059,Amenazada (A),-99.4973373,19.1531034
Rallus limicola,"rascón cara gris, rascón limícola",iucn,Preocupación menor (lc),-99.4973373,19.1531034
Rallus elegans,rascón real,iucn,Casi amenazado (NT),-110.312738,24.142297
Rallus elegans,rascón real,nom059,Amenazada (A),-110.312738,24.142297
Rallus crepitans,"rascón costero del atlántico, rascón picudo",iucn,Preocupación menor (lc),-89.3485022,21.3274368
Rallus crepitans,"rascón costero del atlántico, rascón picudo",nom059,Amenazada (A),-89.3485022,21.3274368
Quiscalus quiscula,"zanate común, zanate norteño",iucn,Casi amenazado (NT),-108.933239,26.998048
Quiscalus palustris,zanate del Lerma,nom059,Probablemente extinta en el medio silvestre (E),-99.5203884,19.2429981
Quiscalus palustris,zanate del Lerma,iucn,Extinto (EX),-99.5203884,19.2429981
Quiscalus mexicanus mexicanus,zanate mexicano,iucn,Preocupación menor (lc),-91.3097778,16.1940833
Quiscalus mexicanus,zanate mayor,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pyrocephalus rubinus mexicanus,mosquero cardenal,iucn,Preocupación menor (lc),-99.5,17.55
Pyrocephalus rubinus flammeus,mosquero cardenal,iucn,Preocupación menor (lc),-105.7166667,23.2
Pyrocephalus rubinus blatteus,mosquero cardenal,iucn,Preocupación menor (lc),-98.18,22.055
Pyrocephalus rubinus,"mosquero cardenal, papamoscas cardenalito",iucn,Preocupación menor (lc),-89.0320753,18.4323762
Pyrilia haematotis,loro cabeza oscura,cites,Apéndice II (El nombre publicado en CITES 2022 es Pionopsitta haematotis (ver relaciones de sinonimia).),-91.579609,16.970338
Pyrilia haematotis,loro cabeza oscura,iucn,Preocupación menor (lc),-91.579609,16.970338
Pyrilia haematotis,loro cabeza oscura,nom059,En peligro de extinción (P),-91.579609,16.970338
Pulsatrix perspicillata saturata,búho de anteojos,cites,Apéndice II,-92.65,15.35
Pulsatrix perspicillata saturata,búho de anteojos,iucn,Preocupación menor (lc),-92.65,15.35
Pulsatrix perspicillata saturata,búho de anteojos,nom059,Amenazada (A),-92.65,15.35
Pulsatrix perspicillata,búho de anteojos,iucn,Preocupación menor (lc),-95.1468534,18.5228338
Pulsatrix perspicillata,búho de anteojos,nom059,Amenazada (A),-95.1468534,18.5228338
Pulsatrix perspicillata,búho de anteojos,cites,Apéndice II,-95.1468534,18.5228338
Puffinus subalaris,pardela de Galápagos,iucn,Preocupación menor (lc),-96.1231687,15.7468502
Puffinus opisthomelas,pardela mexicana,nom059,En peligro de extinción (P),-111.2557983,27.9689337
Puffinus opisthomelas,pardela mexicana,iucn,Casi amenazado (NT),-111.2557983,27.9689337
Puffinus nativitatis,"pardela de Isla Navidad, pardela de Navidad",iucn,Preocupación menor (lc),-96.5938568,15.5695215
Puffinus lherminieri,pardela de Audubon,iucn,Preocupación menor (lc),-100.2667,16.85
Puffinus auricularis auricularis,pardela de revillagigedo,iucn,En peligro crítico (CR),-96.49,15.6633333
Puffinus auricularis auricularis,pardela de revillagigedo,nom059,En peligro de extinción (P),-96.49,15.6633333
Puffinus auricularis,"pardela de Islas Revillagigedo, pardela de Revillagigedo",iucn,En peligro crítico (CR),-108.837507,18.789197
Ptychoramphus aleuticus australis,alcuela oscura,iucn,Casi amenazado (NT),-114.36,27.1
Ptychoramphus aleuticus australis,alcuela oscura,nom059,En peligro de extinción (P),-114.36,27.1
Ptychoramphus aleuticus aleuticus,alcuela oscura,iucn,Casi amenazado (NT),-115.7916667,29.7816667
Ptychoramphus aleuticus aleuticus,alcuela oscura,nom059,Sujeta a protección especial (Pr),-115.7916667,29.7816667
Ptychoramphus aleuticus,"alcuela oscura, alquita oscura",iucn,Casi amenazado (NT),-113.1814109,26.8653891
Ptiliogonys cinereus pallescens,capulinero gris,iucn,Preocupación menor (lc),-99.5,17.55
Ptiliogonys cinereus otofuscus,capulinero gris,iucn,Preocupación menor (lc),-108.1,27.15
Ptiliogonys cinereus molybdophanes,capulinero gris,iucn,Preocupación menor (lc),-92.4666667,15.5
Ptiliogonys cinereus cinereus,capulinero gris,iucn,Preocupación menor (lc),-97.3,18.7166667
Ptiliogonys cinereus,capulinero gris,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pteroglossus torquatus torquatus,arasari de collar,iucn,Preocupación menor (lc),-96.8333333,18.9166667
Pteroglossus torquatus torquatus,arasari de collar,nom059,Sujeta a protección especial (Pr),-96.8333333,18.9166667
Pteroglossus torquatus erythrozonus,arasari de collar,nom059,Sujeta a protección especial (Pr),-88.5683333,20.7666667
Pteroglossus torquatus erythrozonus,arasari de collar,iucn,Preocupación menor (lc),-88.5683333,20.7666667
Pteroglossus torquatus,tucancillo collarejo,iucn,Preocupación menor (lc),-95.01698,18.35812
Pteroglossus torquatus,tucancillo collarejo,nom059,Sujeta a protección especial (Pr),-95.01698,18.35812
Pterodroma neglecta,petrel de Kermadec,iucn,Preocupación menor (lc),-116.786556,31.791303
Pterodroma externa,"petrel de Isla Juan Fernández, petrel de Juan Fernández",iucn,Vulnerable (VU),-109.6092299,23.6186096
Pterodroma cookii,petrel de Cook,iucn,Vulnerable (VU),-111.893265,23.393002
Pterodroma cookii,petrel de Cook,nom059,En peligro de extinción (P),-111.893265,23.393002
Pterodroma cervicalis,petrel cuello blanco,iucn,Vulnerable (VU),-114.481734,18.375745
Psittacara strenuus,perico centroamericano,nom059,Amenazada (A),-94.2344438,16.4311108
Psittacara strenuus,perico centroamericano,cites,Apéndice II (El nombre publicado en CITES 2022 es Aratinga strenua (ver relaciones de sinonimia).),-94.2344438,16.4311108
Psittacara holochlorus,perico mexicano,nom059,Amenazada (A),-98.947105,22.0814097
Psittacara holochlorus,perico mexicano,cites,Apéndice II (El nombre publicado en CITES 2022 es Aratinga holochlora (ver relaciones de sinonimia).),-98.947105,22.0814097
Psittacara holochlorus,perico mexicano,iucn,Preocupación menor (lc),-98.947105,22.0814097
Psiloscops flammeolus,tecolote ojos oscuros,cites,Apéndice II (El nombre publicado en CITES 2022 es Otus flammeolus (ver relaciones de sinonimia).),-104.2786111,23.29
Psiloscops flammeolus,tecolote ojos oscuros,iucn,Preocupación menor (lc),-104.2786111,23.29
Psilorhinus morio,"chara papán, chara pea",iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Cyanocorax morio (ver relaciones de sinonimia).),-95.01698,18.35812
Pseudobulweria rostrata,petrel de Isla Tahití,iucn,Casi amenazado (NT),-96.0151701,15.6019401
Pseudastur albicollis,aguililla blanca,iucn,Preocupación menor (lc),-95.01698,18.35812
Pseudastur albicollis,aguililla blanca,cites,Apéndice II (El nombre publicado en CITES 2022 es Leucopternis albicollis (ver relaciones de sinonimia).),-95.01698,18.35812
Pseudastur albicollis,aguililla blanca,nom059,Sujeta a protección especial (Pr),-95.01698,18.35812
Psarocolius wagleri wagleri,oropéndola cabeza castaña,iucn,Preocupación menor (lc),-91.3088056,16.1921111
Psarocolius wagleri wagleri,oropéndola cabeza castaña,nom059,Sujeta a protección especial (Pr),-91.3088056,16.1921111
Psarocolius wagleri,oropéndola cabeza castaña,iucn,Preocupación menor (lc),-96.3405674,17.6638143
Psarocolius wagleri,oropéndola cabeza castaña,nom059,Sujeta a protección especial (Pr),-96.3405674,17.6638143
Psarocolius montezuma,oropéndola de Moctezuma,nom059,Sujeta a protección especial (Pr),-95.01698,18.35812
Psarocolius montezuma,oropéndola de Moctezuma,iucn,Preocupación menor (lc),-95.01698,18.35812
Psaltriparus minimus,sastrecillo,iucn,Preocupación menor (lc),-103.518863,19.533456
Protonotaria citrea,chipe dorado,iucn,Preocupación menor (lc),-93.3392684,15.6006862
Progne subis subis,golondrina azulnegra,iucn,Preocupación menor (lc),-95.2166667,18.6966667
Progne subis hesperia,golondrina azulnegra,iucn,Preocupación menor (lc),-108.0783333,25.46
Progne subis,golondrina azulnegra,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Progne sinaloae,golondrina sinaloense,nom059,Sujeta a protección especial (Pr),-104.8519446,20.7609876
Progne sinaloae,golondrina sinaloense,iucn,Vulnerable (VU),-104.8519446,20.7609876
Progne dominicensis,golondrina grande,iucn,Preocupación menor (lc),-88.9383333,21.165
Progne chalybea chalybea,golondrina acerada,iucn,Preocupación menor (lc),-91.3061944,16.1730278
Progne chalybea,"golondrina acerada, golondrina pecho gris",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Procellaria parkinsoni,petrel de Parkinson,iucn,Vulnerable (VU),-113.0333333,28.8833333
Porzana carolina,polluela sora,iucn,Preocupación menor (lc),-99.4973373,19.1531034
Porphyrio martinicus,gallineta morada,iucn,Preocupación menor (lc),-93.0204045,18.1705908
Pooecetes gramineus gramineus,gorrión cola blanca,iucn,Preocupación menor (lc),-97.5033333,25.8683333
Pooecetes gramineus confinis,gorrión cola blanca,iucn,Preocupación menor (lc),-99.1666667,19.3833333
Pooecetes gramineus affinis,gorrión cola blanca,iucn,Preocupación menor (lc),-114.395,29.4166667
Pooecetes gramineus,gorrión cola blanca,iucn,Preocupación menor (lc),-100.581523,25.021968
Polioptila nigriceps,perlita sinaloense,iucn,Preocupación menor (lc),-109.5463004,28.4557269
Polioptila melanura,perlita del desierto,iucn,Preocupación menor (lc),-100.581523,25.021968
Polioptila californica,perlita californiana,iucn,Preocupación menor (lc),-115.5833333,30.065
Polioptila caerulea,perlita azulgris,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Polioptila bilineata,perlita tropical,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Polioptila plumbea.),-87.7313232,20.4823411
Polioptila bilineata,perlita tropical,nom059,Sujeta a protección especial (Pr) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Polioptila plumbea.),-87.7313232,20.4823411
Polioptila albiloris vanrossemi,perlita pispirria,iucn,Preocupación menor (lc),-93.9833333,16.5833333
Polioptila albiloris albiventris,perlita pispirria,iucn,Preocupación menor (lc),-89.6433333,21.1566667
Polioptila albiloris albiloris,perlita pispirria,iucn,Preocupación menor (lc),-95,16.67
Polioptila albiloris,perlita pispirria,iucn,Preocupación menor (lc),-93.09415,16.80234
Poecilotriccus sylvia,"espatulilla gris, mosquerito espatulilla gris",iucn,Preocupación menor (lc),-87.3098356,20.3988183
Poecilostreptus cabanisi,tangara chiapaneca,nom059,En peligro de extinción (P) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Tangara cabanisi (ver relaciones de sinonimia).),-92.14638,15.08608
Poecilostreptus cabanisi,tangara chiapaneca,iucn,Vulnerable (VU) (En IUCN Red List 2022-2 como Tangara cabanisi (ver relaciones de sinonimia).),-92.14638,15.08608
Poecile sclateri sclateri,carbonero mexicano,iucn,Preocupación menor (lc),-98.0416667,19.3283333
Poecile sclateri,carbonero mexicano,iucn,Preocupación menor (lc),-105.8714233,23.592585
Poecile gambeli,carbonero cejas blancas,iucn,Preocupación menor (lc),-115.8542121,32.0432978
Podilymbus podiceps,zambullidor pico grueso,iucn,Preocupación menor (lc),-103.7434971,25.2729318
Podiceps nigricollis,zambullidor orejón,iucn,Preocupación menor (lc),-111.2332262,25.7185884
Podiceps auritus,zambullidor cornudo,iucn,Vulnerable (VU),-101.0959339,29.4590202
Pluvialis squatarola,chorlo gris,iucn,Preocupación menor (lc),-89.838404,21.243586
Pluvialis fulva,"chorlo dorado del pacífico, chorlo fulvo",iucn,Preocupación menor (lc),-115.932317,30.4076294
Pluvialis dominica,"chorlo dominico, chorlo dorado americano",iucn,Preocupación menor (lc),-97.0666667,20.5
Plegadis falcinellus,ibis cara oscura,iucn,Preocupación menor (lc),-86.9636536,20.7586019
Plegadis chihi,"ibis cara blanca, ibis ojos rojos",iucn,Preocupación menor (lc),-103.5738524,25.8777308
Platyrinchus cancrominus timothei,mosquero pico chato,nom059,Sujeta a protección especial (Pr),-91.0833333,18.2166667
Platyrinchus cancrominus timothei,mosquero pico chato,iucn,Preocupación menor (lc),-91.0833333,18.2166667
Platyrinchus cancrominus cancrominus,mosquero pico chato,nom059,Sujeta a protección especial (Pr),-95.035,16.8733333
Platyrinchus cancrominus cancrominus,mosquero pico chato,iucn,Preocupación menor (lc),-95.035,16.8733333
Platyrinchus cancrominus,"mosquerito pico chato, mosquero pico chato",iucn,Preocupación menor (lc),-89.0320753,18.4323762
Platyrinchus cancrominus,"mosquerito pico chato, mosquero pico chato",nom059,Sujeta a protección especial (Pr),-89.0320753,18.4323762
Platalea ajaja,espátula rosada,iucn,Preocupación menor (lc),-99.314067,25.6564671
Pitangus sulphuratus derbianus,luis bienteveo,iucn,Preocupación menor (lc),-91.30125,16.2028611
Pitangus sulphuratus,Luis bienteveo,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Piranga rubra cooperi,tángara roja,iucn,Preocupación menor (lc),-91.3097778,16.1940833
Piranga rubra,"piranga roja, tangara roja",iucn,Preocupación menor (lc),-109.544274,28.4573233
Piranga roseogularis,"piranga yucateca, tangara yucateca",iucn,Preocupación menor (lc),-88.2753237,20.6385237
Piranga olivacea,"piranga escarlata, tangara escarlata",iucn,Preocupación menor (lc),-89.1290214,20.0197287
Piranga ludoviciana,"piranga capucha roja, tangara capucha roja",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Piranga leucoptera leucoptera,tángara ala blanca,iucn,Preocupación menor (lc),-92,15.8783333
Piranga leucoptera,"piranga alas blancas, tangara ala blanca",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Piranga flava hepatica,piranga aguacatera de la altiplanicie,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Piranga hepatica (ver relaciones de sinonimia).),-89.8946714,18.417179
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",iucn,Preocupación menor (lc),-96.4243948,15.9462477
Piranga bidentata sanguinolenta,tángara dorso rayado,iucn,Preocupación menor (lc),-91.3088056,16.1921111
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pipilo ocai,"rascador de collar, toquí de collar",iucn,Preocupación menor (lc),-99.834252,17.609779
Pipilo maculatus,"rascador moteado, toquí moteado",iucn,Preocupación menor (lc),-99.1195214,20.0073064
Pipilo erythrophthalmus,toquí pinto,iucn,Preocupación menor (lc),-100.2763889,19.6522222
Pipilo chlorurus,"rascador cola verde, toquí cola verde",iucn,Preocupación menor (lc),-110.0266921,23.5289481
Pionus senilis,loro corona blanca,nom059,Amenazada (A),-91.577934,16.967433
Pionus senilis,loro corona blanca,iucn,Preocupación menor (lc),-91.577934,16.967433
Pionus senilis,loro corona blanca,cites,Apéndice II,-91.577934,16.967433
Piaya cayana thermophila,cuclillo canela,iucn,Preocupación menor (lc),-88.755,18.0733333
Piaya cayana mexicana,cuclillo canela,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Piaya mexicana (ver relaciones de sinonimia).),-99.5,17.55
Piaya cayana,"cuclillo canela, cuclillo canelo",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Phylloscopus fuscatus,"chipe sombrío, mosquitero sombrío",iucn,Preocupación menor (lc),-114.7220707,29.7325204
Phoenicopterus ruber,flamenco americano,iucn,Preocupación menor (lc),-88.1649882,21.5992128
Phoenicopterus ruber,flamenco americano,cites,Apéndice II,-88.1649882,21.5992128
Phoenicopterus ruber,flamenco americano,nom059,Amenazada (A),-88.1649882,21.5992128
Phoebastria nigripes,albatros patas negras,iucn,Casi amenazado (NT),-117.7315,32.5833
Phoebastria nigripes,albatros patas negras,nom059,Amenazada (A),-117.7315,32.5833
Phoebastria immutabilis,albatros de Laysan,iucn,Casi amenazado (NT),-114.034316,26.162883
Phoebastria immutabilis,albatros de Laysan,nom059,Amenazada (A),-114.034316,26.162883
Phoebastria albatrus,albatros rabón,iucn,Vulnerable (VU),-116.1166667,30.5
Phoebastria albatrus,albatros rabón,cites,Apéndice II,-116.1166667,30.5
Philortyx fasciatus,"codorniz barrada, codorniz rayada",iucn,Preocupación menor (lc),-99.5833333,17.3333333
Pheugopedius maculipectus,"chivirín moteado, saltapared moteado",iucn,Preocupación menor (lc),-95.01698,18.35812
Pheugopedius felix lawrencii,chivirín feliz,iucn,Preocupación menor (lc),-106.2416667,21.305
Pheugopedius felix lawrencii,chivirín feliz,nom059,Sujeta a protección especial (Pr),-106.2416667,21.305
Pheugopedius felix,"chivirín feliz, saltapared feliz",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pheucticus melanocephalus,picogordo tigrillo,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pheucticus ludovicianus,"picogordo degollado, picogordo pecho rosa",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Pheucticus chrysopeplus dilutus,picogordo amarillo,iucn,Preocupación menor (lc),-109,27.045
Pheucticus chrysopeplus,picogordo amarillo,iucn,Preocupación menor (lc),-99.1014007,18.9658571
Phasianus colchicus,faisán de collar,iucn,Preocupación menor (lc),-114.8566103,32.4314838
Pharomachrus mocinno,quetzal mesoamericano,cites,Apéndice I,-94.48,16.5066667
Pharomachrus mocinno,quetzal mesoamericano,iucn,Casi amenazado (NT),-94.48,16.5066667
Pharomachrus mocinno,quetzal mesoamericano,nom059,En peligro de extinción (P),-94.48,16.5066667
Phalaropus lobatus,falaropo cuello rojo,iucn,Preocupación menor (lc),-110.5421118,24.6919099
Phalaropus fulicarius,falaropo pico grueso,iucn,Preocupación menor (lc),-110.8557763,25.2427987
Phalaenoptilus nuttallii,"tapacamino tevíi, tapacaminos pandeagua",iucn,Preocupación menor (lc),-110.124315,23.441545
Phainopepla nitens nitens,capulinero negro,iucn,Preocupación menor (lc),-100.6316667,23.7933333
Phainopepla nitens lepida,capulinero negro,iucn,Preocupación menor (lc),-115.2716667,32.545
Phainopepla nitens,capulinero negro,iucn,Preocupación menor (lc),-109.928211,23.657133
Phaethornis striigularis,"colibrí ermitaño enano, ermitaño enano",cites,Apéndice II,-95.01698,18.35812
Phaethornis striigularis,"colibrí ermitaño enano, ermitaño enano",iucn,Preocupación menor (lc),-95.01698,18.35812
Phaethornis striigularis,"colibrí ermitaño enano, ermitaño enano",nom059,Sujeta a protección especial (Pr),-95.01698,18.35812
Phaethornis mexicanus,colibrí ermitaño mexicano,cites,"Apéndice II (El nombre publicado en CITES 2022 es Trochilidae spp., familia ascendente de este taxón.)",-100.1943898,17.4221123
Phaethornis mexicanus,colibrí ermitaño mexicano,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Phaethornis longirostris,"colibrí ermitaño mesoamericano, colibrí ermitaño pico largo, ermitaño mexicano",iucn,Preocupación menor (lc),-95.01698,18.35812
Phaethornis longirostris,"colibrí ermitaño mesoamericano, colibrí ermitaño pico largo, ermitaño mexicano",cites,Apéndice II,-95.01698,18.35812
Phaethon rubricauda,rabijunco cola roja,iucn,Preocupación menor (lc),-110.54277,20.4795
Phaethon lepturus,rabijunco cola blanca,iucn,Preocupación menor (lc),-111.298611,25.937222
Phaethon aethereus mesonauta,rabijunco pico rojo,iucn,Preocupación menor (lc),-101.2666667,17.5333333
Phaethon aethereus mesonauta,rabijunco pico rojo,nom059,Amenazada (A),-101.2666667,17.5333333
Phaethon aethereus,rabijunco pico rojo,iucn,Preocupación menor (lc),-109.4380975,23.2440669
Phaethon aethereus,rabijunco pico rojo,nom059,Amenazada (A),-109.4380975,23.2440669
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",cites,Apéndice II (El nombre publicado en CITES 2022 es Cynanthus sordidus (ver relaciones de sinonimia).),-96.510774,17.0098918
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",iucn,Preocupación menor (lc),-96.510774,17.0098918
Phaeochroa cuvierii,"chupaflor pechiescamado, colibrí pecho escamoso",iucn,Preocupación menor (lc),-90.888386,16.821504
Phaeochroa cuvierii,"chupaflor pechiescamado, colibrí pecho escamoso",cites,Apéndice II (El nombre publicado en CITES 2022 es Campylopterus cuvierii (ver relaciones de sinonimia).),-90.888386,16.821504
Peucedramus taeniatus taeniatus,ocotero enmascarado,iucn,Preocupación menor (lc),-97.1,16.2266667
Peucedramus taeniatus jaliscensis,ocotero enmascarado,iucn,Preocupación menor (lc),-105.4166667,23.7766667
Peucedramus taeniatus giraudi,ocotero enmascarado,iucn,Preocupación menor (lc),-100,24.8233333
Peucedramus taeniatus arizonae,ocotero enmascarado,iucn,Preocupación menor (lc),-107.5816667,27.0733333
Peucedramus taeniatus,ocotero enmascarado,iucn,Preocupación menor (lc),-97.4172547,18.9481856
Peucaea sumichrasti,zacatonero istmeño,nom059,En peligro de extinción (P),-93.646946,16.1749128
Peucaea sumichrasti,zacatonero istmeño,iucn,Casi amenazado (NT),-93.646946,16.1749128
Peucaea ruficauda,zacatonero corona rayada,iucn,Preocupación menor (lc),-105.4724853,20.3953046
Peucaea mystacalis,zacatonero embridado,iucn,Preocupación menor (lc),-96.234758,16.701318
Peucaea humeralis,zacatonero pecho negro,iucn,Preocupación menor (lc),-99.1014007,18.9658571
Peucaea cassinii,zacatonero de Cassin,iucn,Preocupación menor (lc),-100.581523,25.021968
Peucaea carpalis,"zacatonero ala rufa, zacatonero hombros canela",iucn,Preocupación menor (lc),-109.5463004,28.4557269
Peucaea botterii,zacatonero de Botteri,iucn,Preocupación menor (lc),-100.581523,25.021968
Petrochelidon pyrrhonota,golondrina risquera,iucn,Preocupación menor (lc),-109.5463004,28.4557269
Petrochelidon fulva,golondrina pueblera,iucn,Preocupación menor (lc),-89.6409436,20.8747409
Penelopina nigra,pajuil,cites,Apéndice III (Guatemala listó a la especie Penelopina nigra.),-92.085257,15.086542
Penelopina nigra,pajuil,iucn,Vulnerable (VU),-92.085257,15.086542
Penelopina nigra,pajuil,nom059,En peligro de extinción (P),-92.085257,15.086542
Penelope purpurascens purpurascens,pava cojolita,iucn,Casi amenazado (NT),-91.3063333,16.2067778
Penelope purpurascens purpurascens,pava cojolita,nom059,Amenazada (A),-91.3063333,16.2067778
Penelope purpurascens purpurascens,pava cojolita,cites,Apéndice III,-91.3063333,16.2067778
Penelope purpurascens,pava cojolita,cites,Apéndice III (Honduras listó a la especie Penelope purpurascens.),-95.1468534,18.5228338
Penelope purpurascens,pava cojolita,iucn,Casi amenazado (NT),-95.1468534,18.5228338
Penelope purpurascens,pava cojolita,nom059,Amenazada (A),-95.1468534,18.5228338
Pelecanus occidentalis,"pelícano café, pelícano pardo",iucn,Preocupación menor (lc),-99.7637598,16.748347
Pelecanus erythrorhynchos,"pelícano blanco, pelícano blanco americano",iucn,Preocupación menor (lc),-101.2773033,20.9069083
Patagioenas speciosa,paloma escamosa,iucn,Preocupación menor (lc),-89.0833,18.5
Patagioenas speciosa,paloma escamosa,nom059,Sujeta a protección especial (Pr),-89.0833,18.5
Patagioenas nigrirostris,paloma triste,iucn,Preocupación menor (lc),-90.9471962,16.1234976
Patagioenas nigrirostris,paloma triste,nom059,Sujeta a protección especial (Pr),-90.9471962,16.1234976
Patagioenas leucocephala,paloma corona blanca,iucn,Casi amenazado (NT),-87.01397,20.40559
Patagioenas leucocephala,paloma corona blanca,nom059,Amenazada (A),-87.01397,20.40559
Patagioenas flavirostris flavirostris,paloma morada,iucn,Preocupación menor (lc),-108.6216667,26.415
Patagioenas flavirostris,paloma morada,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Patagioenas fasciata,"paloma de collar, paloma encinera",iucn,Preocupación menor (lc),-109.928211,23.657133
Patagioenas cayennensis,paloma colorada,iucn,Preocupación menor (lc),-92.0160398,17.4997138
Passerina versicolor,colorín morado,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Passerina rositae,colorín azulrosa,nom059,Amenazada (A),-94.8709,16.5835
Passerina rositae,colorín azulrosa,iucn,Casi amenazado (NT),-94.8709,16.5835
Passerina leclancherii,colorín pecho naranja,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Passerina cyanea,colorín azul,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Passerina ciris,colorín sietecolores,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Passerina ciris,colorín sietecolores,nom059,Sujeta a protección especial (Pr),-89.0320753,18.4323762
Passerina caerulea,picogordo azul,iucn,Preocupación menor (lc),-101.3305683,20.7539483
Passerina amoena,"colorín lázuli, colorín pecho canela",iucn,Preocupación menor (lc),-109.928211,23.657133
Passerella iliaca unalaschcensis,gorrión vulpino de Shumagin,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Passerella unalaschcensis (ver relaciones de sinonimia).),-115.45,30.9166667
Passerella iliaca schistacea,gorrión vulpino apizarrado,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Passerella schistacea (ver relaciones de sinonimia).),-115.9063994,32.0489705
Passerella iliaca megarhyncha,gorrión vulpino picudo,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Passerella megarhyncha.),-115.864167,32.288333
Passerella iliaca,gorrión rascador,iucn,Preocupación menor (lc),-115.9085083,32.0453328
Passerculus sandwichensis savanna,gorrión sabanero,iucn,Preocupación menor (lc),-97.5033333,25.8683333
Passerculus sandwichensis sandwichensis,gorrión sabanero,iucn,Preocupación menor (lc),-92.1166667,16.2133333
Passerculus sandwichensis sanctorum,gorrión sabanero,iucn,Casi amenazado (NT) (En IUCN Red List 2022-2 como Passerculus sanctorum (ver relaciones de sinonimia).),-115.25,28.1983333
