especievalida,nombrecomun,category,status,longitud,latitud
Trogon melanocephalus,"coa cabeza negra, trogón cabeza negra",iucn,Preocupación menor (lc),-89.9012736,18.5338613
Trogon massena massena,trogón cola oscura,nom059,Amenazada (A),-91.0712222,16.0765
Trogon massena massena,trogón cola oscura,iucn,Preocupación menor (lc),-91.0712222,16.0765
Trogon massena,"coa cola oscura, trogón cola oscura",iucn,Preocupación menor (lc),-90.9471962,16.1234976
Trogon massena,"coa cola oscura, trogón cola oscura",nom059,Amenazada (A),-90.9471962,16.1234976
Trogon elegans ambiguus,coa elegante del noreste,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Trogon ambiguus (ver relaciones de sinonimia).),-104.465,21.9016667
Trogon collaris puella,trogón de collar,iucn,Preocupación menor (lc),-91.3065833,16.2028889
Trogon collaris puella,trogón de collar,nom059,Sujeta a protección especial (Pr),-91.3065833,16.2028889
Trogon collaris,"coa de collar, trogón de collar",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Trogon collaris,"coa de collar, trogón de collar",nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Trogon citreolus,"coa citrina, trogón citrino",iucn,Preocupación menor (lc),-105.1196864,20.753688
Troglodytes tanneri,"chivirín de Clarión, saltapared de Isla Clarión",nom059,Sujeta a protección especial (Pr),-114.755748,18.350496
Troglodytes tanneri,"chivirín de Clarión, saltapared de Isla Clarión",iucn,Vulnerable (VU),-114.755748,18.350496
Troglodytes sissonii,"chivirín de Socorro, saltapared de Isla Socorro",iucn,Casi amenazado (NT),-110.949577,18.727155
Troglodytes sissonii,"chivirín de Socorro, saltapared de Isla Socorro",nom059,Sujeta a protección especial (Pr),-110.949577,18.727155
Troglodytes rufociliatus rufociliatus,chivirín ceja rufa,iucn,Preocupación menor (lc),-92.9,17.1666667
Troglodytes rufociliatus,"chivirín ceja rufa, saltapared cejas canela",iucn,Preocupación menor (lc),-92.085257,15.086542
Troglodytes pacificus,saltapared cholino del oeste,iucn,Preocupación menor (lc),-108.4619021,30.6292848
Troglodytes hiemalis,"chivirín chochín, saltapared cholino del este",iucn,Preocupación menor (lc),-110.6656802,30.8560924
Troglodytes aedon parkmanii,chivirín saltapared,iucn,Preocupación menor (lc),-99.5,17.55
Troglodytes aedon musculus,chivirín ratón,iucn,Preocupación menor (lc),-88.5366667,20.67
Troglodytes aedon intermedius,chivirín ratón,iucn,Preocupación menor (lc),-91.7516667,16.9
Troglodytes aedon aedon,chivirín saltapared,iucn,Preocupación menor (lc),-98.18,22.055
Troglodytes aedon,"chivirín saltapared, saltapared común",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Tringa solitaria solitaria,playero solitario,iucn,Preocupación menor (lc),-95.45,18.4666667
Tringa solitaria cinnamomea,playero solitario,iucn,Preocupación menor (lc),-97.3333333,18.7
Tringa solitaria,playero solitario,iucn,Preocupación menor (lc),-89.5808659,20.9475923
Tringa semipalmata,playero pihuiuí,iucn,Preocupación menor (lc),-99.7637598,16.748347
Tringa melanoleuca,patamarilla mayor,iucn,Preocupación menor (lc),-109.5463004,28.4557269
Tringa incana,playero vagabundo,iucn,Preocupación menor (lc),-109.7397846,23.0239233
Tringa flavipes,patamarilla menor,iucn,Preocupación menor (lc),-113.5288954,31.2964638
Toxostoma rufum,cuicacoche castaño,iucn,Preocupación menor (lc),-105.2066667,21.8116667
Toxostoma redivivum,cuicacoche californiano,iucn,Preocupación menor (lc),-116.499413,31.795886
Toxostoma ocellatum,cuicacoche moteado,iucn,Preocupación menor (lc),-97.4172547,18.9481856
Toxostoma longirostre sennetti,cuitlacoche pico largo,iucn,Preocupación menor (lc),-100.2866667,25.88
Toxostoma longirostre longirostre,cuitlacoche pico largo,iucn,Preocupación menor (lc),-96.9283333,19.545
Toxostoma longirostre,cuicacoche pico largo,iucn,Preocupación menor (lc),-100.278894,22.536023
Toxostoma lecontei lecontei,cuitlacoche del Vizcaíno,iucn,Preocupación menor (lc),-112.3,27.3666667
Toxostoma lecontei arenicola,cuitlacoche del Vizcaíno,iucn,Preocupación menor (lc),-112.3,27.3666667
Toxostoma lecontei,cuicacoche pálido,iucn,Preocupación menor (lc),-113.9987367,28.2932717
Toxostoma guttatum,cuicacoche de Isla Cozumel,nom059,En peligro de extinción (P),-86.9324413,20.454812
Toxostoma guttatum,cuicacoche de Isla Cozumel,iucn,En peligro crítico (CR),-86.9324413,20.454812
Toxostoma curvirostre palmeri,cuitlacoche de Palmer,iucn,Preocupación menor (lc),-109.2833333,31.1333333
Toxostoma curvirostre occidentale,cuitlacoche de Palmer,iucn,Preocupación menor (lc),-105.8566667,22.9916667
Toxostoma curvirostre oberholseri,cuitlacoche pico curvo,iucn,Preocupación menor (lc),-100.2866667,25.88
Toxostoma curvirostre maculatum,cuitlacoche de Palmer,iucn,Preocupación menor (lc),-110.8033333,27.9566667
Toxostoma curvirostre insularum,cuitlacoche de Palmer,iucn,Preocupación menor (lc),-112.2488889,29.0083333
Toxostoma curvirostre curvirostre,cuitlacoche pico curvo,iucn,Preocupación menor (lc),-99.5,17.55
Toxostoma curvirostre celsum,cuitlacoche de Palmer,iucn,Preocupación menor (lc),-103.0383333,21.62
Toxostoma curvirostre,cuicacoche pico curvo,iucn,Preocupación menor (lc),-99.249065,19.009524
