especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Dolichonyx oryzivorus,tordo arrocero,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Rio El Descanso--El Descanso,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-116.9049597,32.202071
Dives dives,tordo cantor,CAMPECHE,04,CAMPECHE,04002,"Kila, 3.2 km al SE del Poblado",MEXICO / CAMPECHE / CAMPECHE,-90.6191667,19.7819444
Diglossa baritula,"picaflor canelo, picochueco vientre canela",CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"Las Manzanas, parche de vegetación nativa",MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6739429,16.6681422
Dendrortyx macroura striatus,codorniz-coluda neovolcánica,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Dendrortyx macroura oaxacae,codorniz-coluda neovolcánica,OAXACA,20,SAN JUAN BAUTISTA VALLE NACIONAL,20559,KM 127.5 CARRETERA TUXTEPEC-OAXACA,MEXICO / OAXACA,-96.3233333,17.7216667
Dendrortyx macroura inesperatus,codorniz-coluda neovolcánica,OAXACA,20,SAN MIGUEL SUCHIXTEPEC,20279,"RIO SAN MARCIAL, S. MIAHUATLAN, ABAJO SAN MIGUEL S",MEXICO / OAXACA,-96.4666667,16.1033333
Dendrortyx macroura griseipectus,codorniz-coluda neovolcánica,GUERRERO,12,GENERAL HELIODORO CASTILLO,12032,"MT. TEOTEPEC, SIERRA MADRE DEL SUR 11500 FT",MEXICO / GUERRERO,-100.1333333,17.4833333
Dendrortyx macroura,codorniz coluda transvolcánica,CIUDAD DE MEXICO,09,TLALPAN,09012,Carretera Ciudad de México-Cuernavaca--La Cima I,MEXICO / CIUDAD DE MEXICO / TLALPAN,-99.1948271,19.1117179
Dendrortyx leucophrys,codorniz coluda centroamericana,CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Dendrortyx barbatus,codorniz coluda veracruzana,HIDALGO,13,TENANGO DE DORIA,13060,0.91km al NE del centro de Tenango de Doria,MEXICO / HIDALGO / TENANGO DE DORIA,-98.220379,20.34319
Dendrocygna bicolor,pijije canelo,AGUASCALIENTES,01,AGUASCALIENTES,01001,Río San Pedro a Presa El Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.359839,21.8171982
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Dendrocolaptes sanctithomae,trepatroncos barrado,CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Dendrocolaptes picumnus,trepatroncos vientre barrado,CHIAPAS,07,OCOSINGO,07059,"Las Margaritas, 53 Km al NE",MEXICO / CHIAPAS / OCOSINGO,-91.5083333,16.4958333
Dendrocincla homochroa homochroa,trepatroncos rojizo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal8,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3080556,16.1906389
Dendrocincla homochroa,"trepatroncos canelo, trepatroncos rojizo",CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.989, -90.299)",MEXICO / CAMPECHE / CANDELARIA,-90.2985587,17.98888
Dendrocincla anabatina anabatina,trepatroncos sepia,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada16,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3060556,16.2063611
Dendrocincla anabatina,trepatroncos sepia,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Dactylortyx thoracicus thoracicus,codorniz silbadora,SAN LUIS POTOSI,24,CIUDAD DEL MAIZ,24010,SOBRE LA CARRETERA A 16 MI E CIUDAD MAíZ,MEXICO / SAN LUIS POTOSI,-99.3716667,22.395
Dactylortyx thoracicus sharpei,codorniz silbadora,QUINTANA ROO,23,FELIPE CARRILLO PUERTO,23002,TABI,MEXICO / QUINTANA ROO,-88.25,19.7166667
Dactylortyx thoracicus devius,codorniz silbadora,GUERRERO,12,GENERAL HELIODORO CASTILLO,12032,"MT. TEOTEPEC, SIERRA MADRE DEL SUR",MEXICO / GUERRERO,-100.1333333,17.4833333
Dactylortyx thoracicus chiapensis,codorniz silbadora,CHIAPAS,07,ESCUINTLA,07032,"ESCUINTLA ST ROSA, PACIFIC SLOPE OF SIERRA MADRE",MEXICO / CHIAPAS,-92.6,15.4333333
Dactylortyx thoracicus,codorniz silbadora,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Cyrtonyx ocellatus,codorniz ocelada,CHIAPAS,07,TEOPISCA,07094,Teopisca,MEXICO / CHIAPAS,-92.474119,16.545467
Cyrtonyx montezumae sallei,codorniz de salle,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,"LAS ANIMAS, S DE",MEXICO / GUERRERO,-99.895,17.3466667
Cyrtonyx montezumae montezumae,codorniz moctezuma,DURANGO,10,DURANGO,10005,"DURANGO, 20 MI SW",MEXICO / DURANGO,-104.9233333,23.7766667
Cyrtonyx montezumae merriami,codorniz moctezuma,VERACRUZ DE IGNACIO DE LA LLAVE,30,CALCAHUALCO,30029,MONTAÑAS DE ORIZABA,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-97.2616667,19.0616667
Cyrtonyx montezumae mearnsi,codorniz moctezuma,CHIHUAHUA,08,GUACHOCHI,08027,SAMACHIQUE,MEXICO / CHIHUAHUA,-107.5333333,27.3
Cyrtonyx montezumae,codorniz de Moctezuma,AGUASCALIENTES,01,JESUS MARIA,01005,Cerro del Muerto,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4310732,21.8733673
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",GUERRERO,12,GENERAL HELIODORO CASTILLO,12032,"PUERTO EL GALLO, 15.5 KM NNE PARAíSO",MEXICO / GUERRERO / GENERAL HELIODORO CASTILLO,-100.1666666,17.4666666
Cypseloides niger,vencejo negro,BAJA CALIFORNIA,02,MEXICALI,02002,Las Arenitas Sewage Ponds,MEXICO / BAJA CALIFORNIA / MEXICALI,-115.326286,32.409252
Cynanthus latirostris,colibrí pico ancho,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Cynanthus forficatus,"esmeralda de Cozumel, esmeralda de Isla Cozumel",QUINTANA ROO,23,COZUMEL,23001,Cozumel- Stop by side of road,MEXICO / QUINTANA ROO / COZUMEL,-87.01397,20.40559
Cynanthus canivetii,"esmeralda oriental, esmeralda tijereta",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
