especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Zonotrichia querula,gorrión de Harris,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Cataviña (pueblo),MEXICO / BAJA CALIFORNIA / ENSENADA,-114.7220707,29.7325204
Zonotrichia leucophrys oriantha,gorrión corona blanca,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San José del Cabo,MEXICO / BAJA CALIFORNIA SUR,-109.69,23.055
Zonotrichia leucophrys leucophrys,gorrión corona blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"GOLFO DE CALIFORNIA, BARRIL, 28º 20'",MEXICO / BAJA CALIFORNIA,-112.8783333,28.3033333
Zonotrichia leucophrys gambelii,gorrión corona blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,ARROYO SAN SIMON,MEXICO / BAJA CALIFORNIA,-115.8666667,30.3666667
Zonotrichia leucophrys,gorrión corona blanca,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Zonotrichia capensis septentrionalis,gorrión chingolo,CHIAPAS,07,CACAHOATAN,07015,"VOLCáN TACANá, PAPALES",MEXICO / CHIAPAS,-92.12,15.085
Zonotrichia capensis,gorrión chingolo,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"María Auxiliadora, San Cristóbal de las Casas, Chis., México",MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6336291,16.7042298
Zonotrichia atricapilla,"gorrión corona amarilla, gorrión corona dorada",BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Zonotrichia albicollis,gorrión garganta blanca,BAJA CALIFORNIA,02,ENSENADA,02001,Laguna de La Salina,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.8747804,32.056249
Zimmerius vilissimus vilissimus,mosquero ceja gris,CHIAPAS,07,LA TRINITARIA,07099,"Santa Rosa, Comitán",MEXICO / CHIAPAS,-92,15.9533333
Zimmerius vilissimus,"mosquerito cejas blancas, mosquero ceja gris",CAMPECHE,04,CHAMPOTON,04004,Ramonal,MEXICO / CAMPECHE / CHAMPOTON,-90.7243388,18.9949694
Zentrygon lawrencii,paloma-perdiz tuxtleña,VERACRUZ DE IGNACIO DE LA LLAVE,30,SANTIAGO TUXTLA,30143,TOP OF CERRO TUXTLA,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-95.35,18.4666667
Zentrygon carrikeri,"paloma tuxtleña, paloma-perdiz tuxtleña",VERACRUZ DE IGNACIO DE LA LLAVE,30,SAN ANDRES TUXTLA,30141,Reserva de la Biosfera Los Tuxtlas--Carretera San Andrés Tuxtla-Ruiz Cortines,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE / SAN ANDRES TUXTLA,-95.1468534,18.5228338
Zentrygon albifacies,"paloma cara blanca, paloma-perdiz cara blanca",CHIAPAS,07,COMITAN DE DOMINGUEZ,07019,Santa Rosa | county: Meseta Comiteca Tojolabal,MEXICO / CHIAPAS,-92.2351,16.4888
Zenaida macroura,"huilota común, paloma huilota",AGUASCALIENTES,01,JESUS MARIA,01005,"Cieneguitas, Ags., México",MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4266666,21.8952777
Zenaida aurita salvadorii,paloma aurita,QUINTANA ROO,23,COZUMEL,23001,Isla Cozumel,MEXICO / QUINTANA ROO,-86.915,20.4366667
Zenaida aurita,"huilota caribeña, paloma aurita",CAMPECHE,04,CALKINI,04001,Reserva de la Biosfera Ría Celestún--Nichili,MEXICO / CAMPECHE / CALKINI,-90.4144979,20.7971078
Zenaida asiatica mearnsi,paloma ala blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN ANDRES,MEXICO / BAJA CALIFORNIA,-114.25,28.7166667
Zenaida asiatica asiatica,paloma ala blanca,CHIAPAS,07,ANGEL ALBINO CORZO,07008,"COMETAN DIST PRUSIA, ATLANTIC SLOPE",MEXICO / CHIAPAS,-92.7916667,15.7116667
Zenaida asiatica,paloma alas blancas,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Manuel M. Ponce 134, Barrio de San Marcos, 20070 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3033014,21.8795451
Xiphorhynchus flavigaster,trepatroncos bigotudo,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Xiphorhynchus erythropygius,"trepatroncos manchado, trepatroncos moteado",CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Xiphocolaptes promeropirhynchus omiltemensis,trepatroncos gigante,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF6,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3047778,16.2000833
Xiphocolaptes promeropirhynchus,trepatroncos gigante,CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Xenus cinereus,playero picopando,BAJA CALIFORNIA SUR,03,LA PAZ,03003,Playa El Zacatal,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.3767586,24.1068202
Xenotriccus mexicanus,mosquero del Balsas,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Xenotriccus callizonus,"mosquerito fajado, mosquero fajado",CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,Horizonte,MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.670549,16.6791291
Xenospiza baileyi,gorrión serrano,CIUDAD DE MEXICO,09,MILPA ALTA,09009,Milpa Alta: llano de Morales,MEXICO / CIUDAD DE MEXICO / MILPA ALTA,-99.0156555,19.1555466
Xenops minutus mexicanus,picolezna liso,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Xenops minutus genibarbis,picolezna liso,VERACRUZ DE IGNACIO DE LA LLAVE,30,SAN JUAN EVANGELISTA,30142,Buena Vista,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-95.2166667,17.8
Xenops minutus,"picolezna común, picolezna liso",CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.989, -90.299)",MEXICO / CAMPECHE / CANDELARIA,-90.2985587,17.98888
Xema sabini,gaviota cola hendida,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Estero La Misión,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-116.8791223,32.0936005
Xanthocephalus xanthocephalus,tordo cabeza amarilla,AGUASCALIENTES,01,JESUS MARIA,01005,Av. Prol. Zaragoza,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3088268,21.9427619
Volatinia jacarina splendens,semillero brincador,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada2,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3105833,16.2018611
Volatinia jacarina,semillero brincador,AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Vireolanius pulchellus pulchellus,vireón esmeralda,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF3,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3078333,16.2011667
Vireolanius pulchellus,vireón esmeralda,CAMPECHE,04,CALAKMUL,04010,MX-CAMP-Dos Naciones Cerro - 17.9718x-89.3601,MEXICO / CAMPECHE / CALAKMUL,-89.360056,17.971759
Vireolanius melitophrys,"vireón arlequín, vireón pecho castaño",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Vireo vicinior,vireo gris,BAJA CALIFORNIA,02,ENSENADA,02001,BCN - ~3 km W El Choyal,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.4697418,31.3097951
Vireo solitarius,vireo anteojillo,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Vireo plumbeus,vireo plomizo,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Vireo philadelphicus,vireo de Filadelfia,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"Lado sureste de El Rosario, B.C., carr # 1 Tijuana-La Paz.",MEXICO / BAJA CALIFORNIA,-115.7273721,30.0596696
Vireo pallens,vireo manglero,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Vireo olivaceus,vireo ojos rojos,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Arroyo Santo Dominguito,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.0951848,28.7223
Vireo nelsoni,vireo enano,CIUDAD DE MEXICO,09,COYOACAN,09003,"Jardín Botánico UNAM, Ciudad de México, MX (19.319, -99.195)",MEXICO / CIUDAD DE MEXICO / COYOACAN,-99.1952626,19.318614
Vireo magister magister,vireo yucateco,QUINTANA ROO,23,COZUMEL,23001,"5 KM S SAN MIGUEL, ISLA COZUMEL",MEXICO / QUINTANA ROO,-86.935,20.4333333
Vireo magister,vireo yucateco,QUINTANA ROO,23,SOLIDARIDAD,23008,Grand Coral Resort Riviera Maya--Campo de Golf,MEXICO / QUINTANA ROO / SOLIDARIDAD,-87.0452893,20.6629033
Vireo leucophrys,"vireo gorra café, vireo gorra parda",CHIAPAS,07,LA CONCORDIA,07020,Cerro Bola,MEXICO / CHIAPAS / LA CONCORDIA,-92.919426,15.830093
Vireo hypochryseus,"vireo amarillo, vireo dorado",CHIAPAS,07,COMITAN DE DOMINGUEZ,07019,"O. STA. ROSA, LA INDEPENDENCIA",MEXICO / CHIAPAS,-92.1866667,16.2516667
Vireo huttoni,vireo reyezuelo,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Vireo griseus perquisitor,vireo ojo blanco,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal9,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3075,16.1900278
Vireo griseus micrus,vireo ojo blanco,CHIHUAHUA,08,MEOQUI,08045,Boquilla,MEXICO / CHIHUAHUA,-105.4833333,28.2666667
Vireo griseus griseus,vireo ojo blanco,CAMPECHE,04,HOPELCHEN,04006,ICHEK,MEXICO / CAMPECHE,-89.9666667,19.7166667
Vireo griseus,vireo ojos blancos,BAJA CALIFORNIA SUR,03,MULEGE,03002,Rancho Santa Teresita,MEXICO / BAJA CALIFORNIA SUR / MULEGE,-113.5689139,27.5687377
Vireo gilvus victoriae,vireo gorjeador,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,"SIERRA LAGUNA, LA LAGUNA",MEXICO / BAJA CALIFORNIA SUR,-109.8,23.465
Vireo gilvus gilvus,vireo gorjeador,CHIAPAS,07,CINTALAPA,07017,EN LOS RIOS DE ALTIPLANICIE MONSERRATE,MEXICO / CHIAPAS,-93.9833333,16.6
Vireo gilvus brewsteri,vireo gorjeador,CHIHUAHUA,08,CHINIPAS,08020,"BARRANCA DEL COBRE, CUSARAGA",MEXICO / CHIHUAHUA,-108.7,27.5833333
Vireo gilvus,vireo gorjeador,AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Vireo flavoviridis forreri,vireo verdeamarillo,MICHOACAN DE OCAMPO,16,AQUILA,16008,Maruata,MEXICO / MICHOACAN DE OCAMPO,-103.36,18.28
Vireo flavoviridis flavoviridis,vireo verdeamarillo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF12,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.2991389,16.2030556
Vireo flavoviridis,vireo verdeamarillo,BAJA CALIFORNIA,02,ENSENADA,02001,"Unnamed Road, Baja California, MX (31.771, -116.601)",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6010075,31.7707817
Vireo flavifrons,vireo garganta amarilla,BAJA CALIFORNIA SUR,03,LA PAZ,03003,Sierra Las Pirras,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.9279976,23.6141713
Vireo cassinii,vireo de Cassin,AGUASCALIENTES,01,CALVILLO,01003,Cerro de La Cantera & Cañadas,MEXICO / AGUASCALIENTES / CALVILLO,-102.7502796,22.0285192
Vireo brevipennis,vireo pizarra,COLIMA,06,COMALA,06003,El Jabali,MEXICO / COLIMA / COMALA,-103.7164371,19.4482194
Vireo bellii,vireo de Bell,AGUASCALIENTES,01,JESUS MARIA,01005,Presa Abelardo L. Rodríguez,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4380469,21.9153376
Vireo bairdi,"vireo de Cozumel, vireo de Isla Cozumel",BAJA CALIFORNIA SUR,03,LA PAZ,03003,La Paz,MEXICO / BAJA CALIFORNIA SUR,-110.25,24.15
Vireo atricapilla,vireo gorra negra,AGUASCALIENTES,01,RINCON DE ROMOS,01007,Presa San Blas,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3508269,22.1792983
Vireo altiloquus,vireo bigotudo,QUINTANA ROO,23,ISLA MUJERES,23003,5 KM SSW PUERTO JUAREZ; MECO,MEXICO / QUINTANA ROO,-86.8167159,21.2172499
Vermivora cyanoptera,"chipe ala azul, chipe alas azules",BAJA CALIFORNIA,02,ENSENADA,02001,Laguna de La Salina,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.8747804,32.056249
Vermivora chrysoptera,"chipe ala dorada, chipe alas amarillas",BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7228216,31.7240697
Vanellus chilensis,avefría tero,CHIAPAS,07,MAPASTEPEC,07051,MX-CHIS-Mapastepec - 15.3249x-92.9957 - 30/12/2016 15:33,MEXICO / CHIAPAS / MAPASTEPEC,-92.99566,15.32492
Uropsila leucogastra brachyura,chivirín vientre blanco,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Uropsila leucogastra,"chivirín vientre blanco, saltapared vientre blanco",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Urile penicillatus,cormorán de Brandt,BAJA CALIFORNIA,02,ENSENADA,02001,"Callejón Todos Santos 7, Ensenada, BC , MX",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6275033,31.8605333
Urile pelagicus,cormorán pelágico,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7229718,31.7237458
Uria aalge,arao común,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora seawatch,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7241328,31.7233921
Tyto alba,lechuza de campanario,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Avenida Fundición 1201–1207, Aguascalientes MX-AGS (21.8940,-102.3099)",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.309943,21.894012
Tyrannus vociferans,"tirano chibiú, tirano gritón",AGUASCALIENTES,01,JESUS MARIA,01005,"Residencial Jesús María, 20923 Jesús María, Ags., México",MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3380702,21.9634956
Tyrannus verticalis,tirano pálido,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Tyrannus tyrannus,tirano dorso negro,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.1574071,21.7772389
Tyrannus savana,tirano tijereta gris,CAMPECHE,04,PALIZADA,04007,"Unnamed Road, Las Cruces, Campeche, MX (17.956, -91.751)",MEXICO / CAMPECHE / PALIZADA,-91.7505017,17.95634
Tyrannus melancholicus satrapa,tirano tropical,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Cabo San Lucas,MEXICO / BAJA CALIFORNIA SUR,-109.9166667,22.8833333
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",AGUASCALIENTES,01,SAN FRANCISCO DE LOS ROMO,01011,Viñedos Ribier,MEXICO / AGUASCALIENTES / SAN FRANCISCO DE LOS ROMO,-102.2844385,21.9763896
Tyrannus forficatus,tirano tijereta rosado,BAJA CALIFORNIA,02,ENSENADA,02001,Ensenada Ambar,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6247222,31.8825
Tyrannus dominicensis,tirano gris,CAMPECHE,04,CARMEN,04003,Playa Norte,MEXICO / CAMPECHE / CARMEN,-91.842742,18.6616963
Tyrannus crassirostris,tirano pico grueso,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Arroyo Santiago, Pab, Ags",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3480939,22.1232519
Tyrannus couchii,"tirano cuír, tirano silbador",CAMPECHE,04,CALAKMUL,04010,"Chetumal - Villahermosa, Río Escondido, Campeche, MX (18.491, -89.272)",MEXICO / CAMPECHE / CALAKMUL,-89.2722995,18.4908288
Turdus rufopalliatus rufopalliatus,mirlo dorso rufo,CHIAPAS,07,SOCOLTENANGO,07083,La Primavera,MEXICO / CHIAPAS,-92.355,16.1066667
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Turdus rufitorques,"mirlo cuello canela, mirlo cuello rufo",CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"19 Hermanos Domínguez, San Cristóbal de las Casas, Chiapas, MX (16.734, -92.64)",MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6398931,16.7344175
Turdus plebejus,"mirlo plebeyo, mirlo serrano",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Turdus migratorius,mirlo primavera,AGUASCALIENTES,01,AGUASCALIENTES,01001,El Sabinal,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.373955,21.75392
Turdus infuscatus,mirlo negro,CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Turdus grayi,"mirlo café, mirlo pardo",CAMPECHE,04,CAMPECHE,04002,19.751x-90.52 - 09/07/2017 9:58 a. m.,MEXICO / CAMPECHE / CAMPECHE,-90.5195522,19.7506027
Turdus assimilis lygrus,mirlo garganta blanca,CIUDAD DE MEXICO,09,TLALPAN,09012,"LA CIMA, LIMITE DEL ESTADO EN EL S",MEXICO / DISTRITO FEDERAL,-99.1983333,19.1033333
Turdus assimilis,mirlo garganta blanca,AGUASCALIENTES,01,AGUASCALIENTES,01001,Parque Rodolfo Landeros Gallegos,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2878432,21.8507445
Tunchiornis ochraceiceps,"verdillo ocre, vireocillo corona canela",CAMPECHE,04,CALAKMUL,04010,Ejido 20 de noviembre calakmul (el ceibo),MEXICO / CAMPECHE / CALAKMUL,-89.3281174,18.3965559
Trogon violaceus braccatus,trogón violáceo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada7,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3078333,16.2024444
Trogon mexicanus,"coa mexicana, trogón mexicano",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Trogon melanocephalus,"coa cabeza negra, trogón cabeza negra",CAMPECHE,04,CALAKMUL,04010,"Oxpetun, Yaxché Campeche Conhuas-Calakmul Zona Arqueológica, Campeche, MX (18.534, -89.901)",MEXICO / CAMPECHE / CALAKMUL,-89.9012736,18.5338613
Trogon massena massena,trogón cola oscura,CHIAPAS,07,OCOSINGO,07059,Ixcan P0,MEXICO / CHIAPAS / OCOSINGO,-91.0712222,16.0765
Trogon massena,"coa cola oscura, trogón cola oscura",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Trogon elegans ambiguus,coa elegante del noreste,AGUASCALIENTES,01,CALVILLO,01003,"1 km south of La Labor, in the valley north of Calvillo, Aguascalientes, Mexico",MEXICO / AGUASCALIENTES,-102.6947,21.9551
Trogon elegans,"coa elegante, trogón elegante",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Trogon collaris puella,trogón de collar,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada10,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065833,16.2028889
Trogon collaris,"coa de collar, trogón de collar",CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Trogon citreolus,"coa citrina, trogón citrino",CAMPECHE,04,CHAMPOTON,04004,"SAN JUAN CAPISCO, 81 KMS BY RRS CAMPECHE",MEXICO / CAMPECHE,-90.47,19.2983333
Trogon caligatus,"coa violácea norteña, trogón violáceo",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Troglodytes tanneri,"chivirín de Clarión, saltapared de Isla Clarión",COLIMA,06,MANZANILLO,06007,"Isla Clarion, a 200 m al este de la base naval",MEXICO / COLIMA / MANZANILLO,-104.3040009,19.1019993
Troglodytes rufociliatus rufociliatus,chivirín ceja rufa,CHIAPAS,07,PUEBLO NUEVO SOLISTAHUACAN,07072,"RANCHO NUEVO MUNDO, PUEBLO NUEVO SOLISTAHUACAN",MEXICO / CHIAPAS,-92.9,17.1666667
Troglodytes rufociliatus,"chivirín ceja rufa, saltapared cejas canela",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Troglodytes pacificus,saltapared cholino del oeste,CHIHUAHUA,08,JANOS,08035,La Presa CH,MEXICO / CHIHUAHUA / JANOS,-108.4619021,30.6292848
Troglodytes hiemalis,"chivirín chochín, saltapared cholino del este",CHIHUAHUA,08,JANOS,08035,MX CHIH: La Presa Riparian Woodland,MEXICO / CHIHUAHUA / JANOS,-108.4619236,30.628902
Troglodytes aedon parkmanii,chivirín saltapared,BAJA CALIFORNIA,02,SAN QUINTIN,02006,CAÑON AGUA CHIQUITA,MEXICO / BAJA CALIFORNIA,-115.8,30.5333333
Troglodytes aedon musculus,chivirín ratón,CHIAPAS,07,LA TRINITARIA,07099,"E. CHIAPAS, 34 KM. E. LA TRINITARIA",MEXICO / CHIAPAS,-91.75,16.0966667
Troglodytes aedon intermedius,chivirín ratón,CHIAPAS,07,OCOSINGO,07059,EL REAL,MEXICO / CHIAPAS,-91.7516667,16.9
Troglodytes aedon aedon,chivirín saltapared,TAMAULIPAS,28,GONZALEZ,28012,Manuel,MEXICO / TAMAULIPAS,-98.3166667,22.7166667
Troglodytes aedon,"chivirín saltapared, saltapared común",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Tringa stagnatilis,patamarilla euroasiática,BAJA CALIFORNIA,02,ENSENADA,02001,Base de la barra del Estero de Punta Banda,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6575849,31.7203052
Tringa solitaria solitaria,playero solitario,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Agua Escondida,MEXICO / BAJA CALIFORNIA SUR,-110.0333333,22.9666667
Tringa solitaria cinnamomea,playero solitario,BAJA CALIFORNIA,02,MEXICALI,02002,"GARDNER'S LAGUNA, SALTON RIVER",MEXICO / BAJA CALIFORNIA,-115.3666667,32.4666667
Tringa solitaria,playero solitario,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Tringa semipalmata,playero pihuiuí,AGUASCALIENTES,01,JESUS MARIA,01005,Presa El Chichimeco,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3641038,21.9978483
Tringa melanoleuca,patamarilla mayor,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Presa Garabato, Aguascalientes, Mexico",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3463889,22.0836111
Tringa incana,playero vagabundo,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7229718,31.7237458
Tringa glareola,playero andarríos,BAJA CALIFORNIA SUR,03,LA PAZ,03003,La Paz,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.3232908,24.1332817
Tringa flavipes,patamarilla menor,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Toxostoma rufum,cuicacoche castaño,BAJA CALIFORNIA,02,TECATE,02003,Rancho La Puerta (acceso restringido),MEXICO / BAJA CALIFORNIA / TECATE,-116.6780663,32.5479979
Toxostoma redivivum,cuicacoche californiano,BAJA CALIFORNIA,02,ENSENADA,02001,Camino a San Carlos,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.499413,31.795886
Toxostoma ocellatum,cuicacoche moteado,CIUDAD DE MEXICO,09,COYOACAN,09003,"San Antonio Coapa, Tlalpan",MEXICO / DISTRITO FEDERAL / COYOACAN,-99.1416667,19.3083333
Toxostoma longirostre sennetti,cuitlacoche pico largo,COAHUILA DE ZARAGOZA,05,NADADORES,05021,"PUERTA DEL CARMEN, 25 MI NW MONCLOVA",MEXICO / COAHUILA DE ZARAGOZA,-101.7,27.05
Toxostoma longirostre longirostre,cuitlacoche pico largo,HIDALGO,13,MOLANGO DE ESCAMILLA,13042,"LAGUNA ATEZCA, 4 KM N MOLANGO",MEXICO / HIDALGO,-98.7466667,20.805
Toxostoma longirostre,cuicacoche pico largo,BAJA CALIFORNIA SUR,03,COMONDU,03001,SANTO DOMINGO LANDING,MEXICO / BAJA CALIFORNIA SUR,-111.92,25.505
Toxostoma lecontei lecontei,cuitlacoche del Vizcaíno,BAJA CALIFORNIA,02,MEXICALI,02002,San Felipe,MEXICO / BAJA CALIFORNIA,-114.8333333,31.0233333
Toxostoma lecontei arenicola,cuitlacoche del Vizcaíno,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN JAVIER,MEXICO / BAJA CALIFORNIA,-113.9333333,28.5
