generovalido
Abeillia
Accipiter
Actitis
Aechmophorus
Aegolius
Aeronautes
Aethia
Agamia
Agapornis
Agelaius
Aimophila
Aix
Alectoris
Alopochen
Amaurolimnas
Amaurospiza
Amazilia
Amazona
Amblycercus
Ammodramus
Ammospiza
Amphispiza
Amphispizopsis
Anabacerthia
Anas
Anhinga
Anous
Anser
Anthracothorax
Anthus
Antigone
Antrostomus
Aphelocoma
Aquila
Ara
Aramides
Aramus
Aratinga
Archilochus
Ardea
Ardenna
Arenaria
Arremon
Arremonops
Artemisiospiza
Asio
Aspatha
Athene
Atlapetes
Atticora
Attila
Aulacorhynchus
Auriparus
Automolus
Aythya
Baeolophus
Barnardius
Bartramia
Basileuterus
Basilinna
Bolborhynchus
Bombycilla
Botaurus
Brachyramphus
Branta
Brotogeris
Bubo
Bubulcus
Bucephala
Bulweria
Burhinus
Busarellus
Buteo
Buteogallus
Butorides
Cacatua
Cacicus
Cairina
Calamospiza
Calcarius
Calidris
Callipepla
Calocitta
Calonectris
Calothorax
Calypte
Campephilus
Camptostoma
Campylopterus
Campylorhynchus
Cantorchilus
Caprimulgus
Caracara
Cardellina
Cardinalis
Carduelis
Carpodacus
Caryothraustes
Cassiculus
Cathartes
Catharus
Catherpes
Celeus
Centronyx
Cepphus
Ceratopipra
Cercomacroides
Cerorhinca
Certhia
Ceryle
Chaetura
Chalybura
Chamaea
Charadrius
Chiroxiphia
Chlidonias
Chlorestes
Chloroceryle
Chlorophanes
Chlorophonia
Chlorospingus
Chlorostilbon
Chondestes
Chondrohierax
Chordeiles
Chroicocephalus
Chrysomus
Ciccaba
Cinclus
Circus
Cistothorus
Clangula
Claravis
Clibanornis
Coccothraustes
Coccyzus
Cochlearius
Coereba
Colaptes
Colibri
Colinus
Colius
Columba
Columbina
Contopus
Coragyps
Corthylio
Corvus
Cotinga
Coturnicops
Coturnix
Crax
Crotophaga
Crypturellus
Cyanerpes
Cyanocitta
Cyanocompsa
Cyanocorax
Cyanoliseus
Cyanoloxia
Cyanolyca
