nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
"chipe de manglar Sudcaliforniano, laapí bajacaliforniano",826
"colibrí tijereta, colibrí tijereta guatemalteco",826
playero rabadilla blanca,820
tecolote ojos oscuros,790
mergo cresta blanca,774
tecolote de Cooper,750
"búho barrado albinegro, búho blanquinegro",746
"paloma tuxtleña, paloma-perdiz tuxtleña",742
coqueta cresta negra,740
"mosquero verdoso, papamoscas verdoso",738
mosquero-cabezón degollado,734
fulmar norteño,726
paloma pecho gris,724
clarín unicolor,716
paíño de Townsend,712
pato tejano,710
chorlo chiflador,708
"tapacamino prío, tapacaminos prío",702
cuitlacoche de Palmer,690
"pinzón de Cassin, pinzón serrano",686
"chipe de manglar, chipe de manglar Occidental, chipe manglero",686
"carpintero elegante, chupasavia oscuro",678
ermitaño cola larga,676
zorzal cara gris,674
cigüeña jabirú,668
charrán embridado,666
vencejo tijereta mayor,656
chipe gorra rufa,656
loro yucateco,646
tirano tropical,646
"chupaflor pechiescamado, colibrí pecho escamoso",638
bolsero encapuchado,628
gorrión pantanero,628
gorrión de Baird,624
águila cabeza blanca,624
tecolote tamaulipeco,622
chara de Florida,622
luis gregario,616
loro tamaulipeco,616
búho cara oscura,612
vencejo tijereta menor,612
cuicacoche pico corto,610
cuicacoche pálido,604
momoto corona café,600
"gorrión corona amarilla, gorrión corona dorada",598
"cabezón canelo, mosquero-cabezón canelo",598
chara crestada,596
"chivirín ruiseñor, saltapared ruiseñor",592
gaviota cola hendida,588
sita pecho blanco,584
tordo tricolor,580
"colibrí hada enmascarada, hada enmascarada",570
buscabreña,564
mosquero pinero,548
"chivirín de Socorro, saltapared de Isla Socorro",548
"zorzal canelo, zorzal rojizo",546
carpintero de pechera,544
chipe de montaña,544
gorrión rascador,540
bolsero dorso rayado,536
cuitlacoche peninsular,536
mergo mayor,532
mascarita de Altamira,526
"tapacamino ticuer, tapacaminos ticurú",524
mosquero copetón,508
albatros de Laysan,508
matraca nuca rufa,508
"tecolote afilador, tecolote oyamelero norteño",502
"ganso canadiense, ganso canadiense mayor",496
gorrión de Guadalupe,490
pardela de Galápagos,480
hormiguero sencillo,474
chipe corona dorada,470
carpintero de guadalupe,468
alcaudón verdugo,466
cuclillo pico negro,460
cuitlacoche pico curvo,460
capuchino tricolor,456
"mosquerito cola castaña, mosquero cola castaña",444
chipe pinero,440
cuclillo canela,436
elenia verdosa,432
"chivirín de Clarión, saltapared de Isla Clarión",422
"chipe cabeza negra, chipe gorra negra",422
carpintero imperial,416
tecolote mesoamericano,408
tirano gris,398
"pardela de Islas Revillagigedo, pardela de Revillagigedo",392
tecolote barbudo,390
pato boludo mayor,376
golondrina sinaloense,376
"águila albinegra, águila blanquinegra",374
"semillero azul, semillero azulgris",368
gavilán bicolor,368
chivirín saltarroca,366
picogrueso norteño,366
tapacaminos cuerporruín norteño,366
garza agami,364
chorlo llanero,362
bobo de Nazca,352
golondrina ala aserrada,350
"búho barrado, búho listado",336
"bajapalos pecho canela, sita canadiense",334
alca rinoceronte,330
gaviota de Thayer,328
"gorriones, juncos, rascadores, semilleros, zacatoneros",324
chivirín saltapared,322
capuchino pecho escamoso,322
tordo arrocero,322
"tapacamino de Carolina, tapacaminos de carolina",314
"arroceros, cardenales, colorines, picogruesos",314
cuicacoche de Isla Cozumel,312
cóndor californiano,310
paíño de Galápagos,308
gaviota patas negras,306
carpintero pico plata,304
"búho cuerno blanco, búho cuernos blancos",296
chipe ala blanca,292
"chipe celeste, chipe cerúleo",290
"carpintero pecho rojo, chupasavia cabeza roja",284
mosquero californiano,282
escribano de McCown,278
urraca-hermosa cara blanca,278
"búho cara café, búho cara canela",278
hojarasquero oscuro,276
pibí occidental,268
atlapetes gorra rufa,264
gorrión garganta blanca,262
"tecolote canelo, tecolote oyamelero sureño",260
jilguero dominico,260
chivirín pecho blanco,260
búho de anteojos,256
petrel de Cook,252
cardenal pardo,252
zafiro garganta azul,250
guacamaya roja,248
"jilguerito corona negra, jilguero corona negra",244
pato silbón,244
mosquero pico chato,242
"paíño de Guadalupe, paíño de Isla Guadalupe",238
codorniz moctezuma,236
perdiz canela nayarita,236
chipe ceja dorada,234
"ganso cacareador, ganso canadiense menor",232
mosquero ojo blanco,224
cuitlacoche del Vizcaíno,222
"coqueta cresta corta, coqueta de Atoyac",220
"picopando del este, picopando ornamentado",220
trepatroncos escarchado,218
gavilán azor,218
cuitlacoche pico largo,208
güitío del Pacífico,208
aves de percha,206
mosquero saucero,204
paloma ala blanca,200
loro nuca amarilla,200
chara de Wollweber,196
"Tingüis lomo rojo norte americano, playero dorso rojo",196
"gorrión llanero, gorrión pusila",190
gorrión casero,188
pardela de Audubon,188
colibríes,184
"gaviotas, golondrinas Marinas",184
"matracas, trogloditidos",184
pato cola larga,178
colibrí cola rojiza,176
gavilán pecho rufo,176
"gorrión cantor de Coronados, gorrión cantor insular, zanjero cantor de Coronados",172
picureros,170
"búho manchado, búho moteado",166
fragata pelágica,164
breñero garganta pálida,162
"chipes, mascaritas, parulas",160
junco ojo de lumbre,156
carpintero de Lewis,156
pato enmascarado,154
mirlo dorso rufo,152
"batará café, batará canelo",150
atila,148
codorniz ocelada,148
momoto ceja azul,146
perico centroamericano,144
colibrí pico largo,144
"Luises, mosqueros, papamoscas, tiranos",142
bisbita garganta roja,140
vireo ojo blanco,138
"centzontle de Isla Socorro, centzontle de Socorro",136
aguililla cola roja,136
zacatonero de artemisas,134
avefría tero,132
mérgulo de Xantus,130
semillero azul,130
alcuela oscura,126
negreta alas blancas americana,124
"chorlo dorado del pacífico, chorlo fulvo",124
garrapatero pico liso,124
arasari de collar,124
codorniz coluda centroamericana,120
"huilota de Isla Socorro, paloma de Socorro",120
codorniz chiquiri,120
pedrete corona clara,120
mosquero elenia de montaña,120
vencejo cuello blanco,118
"azulejos, mirlos, zorzales",118
bolsero castaño,114
águila solitaria,114
salteador cola larga,112
"rascón café, rascón canelo",112
chivirín feliz,112
garceta pie-dorado,110
tángara ala blanca,110
mosquero lampiño,108
chivirín pecho gris,106
polluela pecho amarillo,104
págalo sureño,104
catarina de las Islas Marías,104
carpinteros,102
charrán rosado,98
cascanueces americano,98
"cercetas, cisnes, gansos, patos",98
mérgulo de Scripps,98
rascón real,96
paíño cenizo,96
garceta tricolor,96
picurero cabeza negra,94
mielero pata roja,94
trepatroncos vientre barrado,94
"mirlo cinchado, mirlo pecho cinchado",94
chotacabras cola corta,92
pardela cola corta,92
vireos,90
"hormiguero apizarrado, hormiguero plomizo",90
codorniz-coluda neovolcánica,90
tucán pico de canoa,90
playero combatiente,88
aguililla-negra menor,86
"negreta negra, negreta pico amarillo",86
picolezna liso,84
hojarasquero pecho rufo,84
chivirín ratón,84
"bienparado mayor, pájaro estaca mayor",84
"bolseros, calandrias",82
"gaviota dominicana, gaviota meridional",82
polluela negra,80
pardela boreal,80
cuicacoche castaño,80
charrán ártico,78
pardelas,78
breñero cejudo,78
"charas, cuervos, urracas",76
"mielero brillante, mielero patas amarillas",74
matraca de Nelson,74
arao común,72
"pinzón colorado, pinzón purpúreo",72
"playero leonado, playero ocre",72
"chotacabras, tapacaminos",72
guajolote de Gould,70
tórtola pecho morado,70
garceta rojiza,70
garceta verde,68
bolsero cola amarilla,68
paloma de collar africana,68
chivirín pantanero,68
"llorón fioié, plañidera jaspeada",66
escribano ártico,66
mosquero garganta blanca,64
"paloma ala dorada, paloma de oriente",64
gaviota blanca,62
tángara-hormiguera corona roja,62
aguililla-negra mayor,62
zorzal orejas blancas chiapaneco,60
"vencejo cara blanca, vencejo frente blanca",58
gorrión vulpino apizarrado,56
gavilán pescador,56
mérgulo de xantus,54
hormiguero-cholino escamoso,52
"palomas, tórtolas",50
granatelo de las Islas Marías,50
"cenzontles, cuitlacoches, mimidos, mulatos",50
"eufonias, mieleros, tangaras",48
pibí tropical,48
chupasavia oscuro,48
guajolote del río Bravo,48
carpintero albinegro menor,48
"furnáridos, horneros",46
bobo norteño,46
chivirín vientre blanco,46
trogón violáceo,46
papamoscas rayado,46
elenia vientre amarillo,44
pato arlequín,44
"zanate común, zanate norteño",44
chipe de coronilla,42
mosquero gorra parda,42
playero oscuro,42
hormiguero mexicano,42
caracara de Isla Guadalupe,42
güitío pecho rufo,40
golondrina acerada,40
colibrí nuca blanca,40
vireo bigotudo,40
gaviota de Groenlandia,40
"gorriones, jilgueros",38
loro cachete amarillo,38
bobo pata roja,38
chipe corona naranja,38
jacamar cola rufa,38
gaviota gris,38
tángara azulgris,36
pardela patas pálidas,34
"perlitas, soterillos",34
chivirín de ciénega elegante,34
playero andarríos,34
trepadorcitos,32
semillero pizarra,32
bolsero pecho manchado,32
petrel de Isla Tahití,30
cigüeñas,30
eufonia vientre blanco,30
rascador nuca rufa,30
zambullidor cuello rojo,30
jilguero pinero,30
carboneros,28
atlapetes nuca blanca,28
zanate mexicano,28
papamoscas pirata,28
rabijunco cola blanca,28
picurero bosquero,28
"búhos, tecolotes",26
"correcaminos, cuclillos, garrapateros",26
"momoto pico quilla, momoto pico quillado",26
"playeros, zarapitos",24
cisne de tundra,24
tórtola rojiza,24
"sastrecillo, sastrecillos",24
cacique pico amarillo,24
gorrión-canario sabanero,24
mosquero ocrillo,24
aguililla ala ancha,24
gorrión de San Benito,24
gavilán pico gancho,24
águila arpía,24
"aguilillas, gavilanes, milanos, águilas",22
bolsero dorso dorado,22
paíño de Ainley,22
"petrel de Isla Juan Fernández, petrel de Juan Fernández",22
"tordo común, tordo sudamericano",22
bolsero de Sclater,22
"pardela de Isla Navidad, pardela de Navidad",20
garzas,20
rascón limícola,20
pardela de Buller,20
gorrión vulpino picudo,20
búho cara café,20
toquí oaxaqueño,20
"chorlitos, gaviotas, ostreros, playeritos, playeros",20
titira enmascarada,20
cabezón alas blancas,18
avetoro mínimo,18
paloma-perdiz rojiza,18
rascón café,18
zambullidores,18
hormiguero ala punteada,16
tángara roja,16
"charrán corona blanca, charrán-bobo negro",16
tordo canadiense,16
"chivirín chochín, saltapared cholino del este",16
paíño de Wilson,16
trogones,16
"gallaretas, ralos",16
"colimbo de Adams, colimbo pico amarillo",14
plañidera alazán,14
luis bienteveo,14
caracara comecacao,14
ganso careto-mayor,14
polluela amarilla,14
pato islándico,14
"bajapalos, sitas",14
carao,12
albatros rabón,12
golondrinas,12
paloma-perdiz tuxtleña,12
gorrión de Harris,12
trepatroncos oliváceo,12
hormiguero apizarrado,12
martines pescadores,12
aguililla ártica,10
"gorrión cola aguda de Nelson, gorrión de Nelson",10
petrel cuello blanco,10
trogón de collar,10
patamarilla euroasiática,10
mérgulo antiguo,10
"playero menor, playero menudo",10
petrel de Parkinson,10
cotingas,10
"colibríes, vencejos",10
picurero grisáceo,10
"chachalacas, codornices, guajolotes silvestres",10
palomas,10
lavandera blanca,8
atlapetes garganta amarilla,8
mosquero ceja gris,8
chivirín barranqueño,8
codorniz de salle,8
rabijunco cola roja,8
chivirín ruiseñor,8
"picurero grisáceo, saltador gris",8
rascón picudo,8
flumar antártico,8
mosquitero Ártico,8
pardela de revillagigedo,8
gorrión de Le Conte,8
chipe de Connecticut,8
cerceta cejas blancas,8
aracari de collar,8
"baloncillo, baloncillos, verdines",8
búho manchado,8
colimbo ártico,8
chupasavia cabeza roja,8
mosquero cola castaña,8
pardela mayor,8
chorlo carambolo,8
gaviota mayor,6
gorrión costero,6
gaviota menor,6
tángara dorso rayado,6
"alcas, alcitas",6
bolsero de Wagler,6
petrel heráldico,6
hormiguero-gallito mexicano,6
mosquitero cejas amarillas,6
chara pecho rayado,6
alca marmoleada,6
arao pichón,6
chorlos,6
paloma migratoria,6
águila crestada,6
pardela de Cory,6
"bobos, sulas",6
correcaminos,6
playero picopando,6
gallineta del Lerma,6
playero zarapito,4
"quetzal, trogones",4
paíño de Harcourt,4
cisne trompetero,4
escribano pigmeo,4
mosquero-cabezón mexicano,4
chipe amarillo manglero,4
gavilán pecho blanco,4
picopando cola barrada,4
paíño gris,4
batará café,4
búho cuerno corto,4
momotos,4
saltapared cholino del oeste,4
halcones,4
"codornices, codornices del nuevo mundo",4
bisbita de oriente,4
playero canuto,4
zanate del Lerma,4
"ocotero, ocoteros",4
golondrina pecho café,4
collalba norteña,4
"batarás, hormigueros",4
"búhos, lechuzas",4
charrán blanco,4
chivirín moteado,4
mosquero de anteojos,4
playero de cola afilada,4
"chipe sombrío, mosquitero sombrío",4
semillero plomizo,4
aguililla listada vientre rojo,2
garrapatero mayor,2
gaviota cola negra,2
cormoranes,2
colibrí yucateco,2
"chocha americana, chocha del este",2
petrel de Kermadec,2
trepatroncos rojizo,2
semillero apizarrado,2
soterillo picudo,2
tucaneta verde,2
gaviota cana,2
"escúas, salteadores",2
gorrión vulpino de Shumagin,2
avocetas,2
chivirín de Sumichrast,2
chivirín ceja rufa,2
chivirín sinaloense,2
águila cola corta,2
colibrí picudo,2
vencejos,2
tinamú jamauey,2
grulla blanca,2
chipe de Tolmie,2
plañidera jaspeada,2
frailecillo copetón,2
mosquero-cabezón canelo,2
gorrión cola aguda,2
chivirín de ciénega norteño,2
tángara cabeza gris,2
tucanes,2
golondrina albiazul,2
estorninos,2
colorín azul negro,2
pato mexicano,2
búho cuerno blanco,2
mirlo pecho cinchado,2
chara azul,2
luis pico grueso,2
trogón cola oscura,2
tordo ojo rojo,2
zarapito boreal,2
"alcuela crestada, alquita crestada",2
mosquero cabezón ventriblanco,2
paloma aurita,2
atlapetes de los Tuxtlas,2
petrel de Bulwer,2
lavandera amarilla,2
golondrina grande,2
