nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
avoceta americana,28286
picopando canelo,28234
gorrión corona blanca,28176
"coa citrina, trogón citrino",27792
oropéndola de Moctezuma,27612
cerceta canela,27580
"piranga hormiguera garganta roja, tangara-hormiguera garganta roja",27570
mirlo garganta blanca,27436
chorlo semipalmeado,27306
playero occidental,27202
vireo reyezuelo,26842
"carpintero de pechera, carpintero de pechera común",26768
"rascador moteado, toquí moteado",26742
"urraca cara negra, urraca-hermosa cara negra",26502
playero blanco,26456
"papamoscas atigrado, papamoscas rayado común",26448
"chipe pecho manchado, parula norteña",26358
aguililla cola corta,26146
colibrí magnífico,25786
"urraca cara blanca, urraca-hermosa cara blanca",25730
colorín azulnegro,25674
vuelvepiedras rojizo,25384
milano cola blanca,25340
"mosquero copetón, papamoscas copetón",25334
momoto corona negra,24992
pradero tortillaconchile,24962
halcón guaco,24758
golondrina verdemar,24650
"chipe cejas blancas, parula ceja blanca",24576
carpintero yucateco,24236
chachalaca pálida,24202
tucán pico canoa,24184
"coa cabeza negra, trogón cabeza negra",24096
capulinero negro,23730
"gavilán pecho canela, gavilán pecho rufo",23404
semillero oliváceo,23352
zorzal pico naranja,23306
aguililla aura,23274
chachalaca vientre castaño,22990
"coa elegante, trogón elegante",22962
cuervo sinaloense,22944
"coa violácea norteña, trogón violáceo",22884
"picogordo degollado, picogordo pecho rosa",22716
"mosquero barranqueño, papamoscas amarillo barranqueño",22664
"chipe ala blanca, pavito alas blancas",22460
"ampelis chinito, chinito",22348
perico monje argentino,22242
vireo manglero,22180
patamarilla menor,22016
"chipe cejas negras, chipe corona dorada",21988
chipe cabeza amarilla,21564
"gaviota bajacaliforniana, gaviota pata amarilla",21426
ocotero enmascarado,21396
vireo anteojillo,21338
colibrí cabeza roja,21326
"picaflor canelo, picochueco vientre canela",21288
gorrión pálido,21286
pato golondrino,21250
chotacabras pauraque,21130
"carpintero pico plata, carpintero pico plateado",21110
cerceta alas verdes,21106
"rascador oaxaqueño, toquí oaxaqueño",20788
"chara copetona, chara crestada",20754
"Atila, mosquero atila",20580
"golondrina acerada, golondrina pecho gris",20522
correcaminos norteño,20462
colibrí cabeza violeta,20224
"vireo amarillo, vireo dorado",20100
"bolsero tunero, calandria tunera",20058
chipe suelero,20058
"bolsero dorsioscuro, calandria flancos negros",19944
chotacabras menor,19804
golondrina risquera,19686
loro cachetes amarillos,19626
"eufonia capucha azul, eufonia gorra azul",19376
"bolsero yucateco, calandria dorso naranja",19374
colibrí cándido,19364
ostrero americano,19318
chipe rojo,19298
bobo café,19294
"cardenal desértico, cardenal pardo",19258
batará barrado,19228
colorín pecho naranja,19090
charrán de Forster,19016
chinchinero común,18872
vireo de Bell,18634
pato chalcuán,18628
chipe cejas doradas,18600
"fandanguero cola cuña, fandanguero mexicano",18434
pato boludo menor,18028
garza tigre mexicana,18010
tirano pálido,18008
bobo patas azules,17984
mascarita pico grueso,17974
zacatonero garganta negra,17942
"trepatroncos cabeza gris, trepatroncos oliváceo",17902
carbonero mexicano,17890
"papamoscas de Nutting, papamoscas huí",17888
"elenia verdosa, mosquerito verdoso",17862
pato friso,17780
codorniz californiana,17700
"mosquerito ojos blancos, mosquero ojo blanco",17582
cacique pico claro,17336
"chipe tropical, parula tropical",17264
polluela sora,17074
"carpintero olivo, carpintero oliváceo",17062
gaviota californiana,17034
carrao,17016
"zacatonero canelo, zacatonero rojizo",17000
"matraca nuca canela, matraca nuca rufa",16900
"vencejo collar blanco, vencejo cuello blanco",16864
"halcón enano, halcón murcielaguero",16848
"zorzal cola canela, zorzal cola rufa",16842
halcón selvático de collar,16806
chara californiana,16790
zopilote sabanero,16702
maullador negro,16678
costurero pico largo,16668
"mielero pata roja, mielero patas rojas",16612
"trepador americano, trepadorcito americano",16510
"coa mexicana, trogón mexicano",16398
azulejo garganta canela,16390
"bajapalos pecho blanco, sita pecho blanco",16366
vireo verdeamarillo,16330
"esmeralda oriental, esmeralda tijereta",16304
tirano tijereta rosado,15834
"carpintero moteado, chupasavia maculado",15714
"bolsero cabeza negra, calandria capucha negra",15662
"chivirín pantanero, saltapared pantanero",15580
"zorzal maculado, zorzal moteado",15550
golondrina bicolor,15400
"chivirín vientre blanco, saltapared vientre blanco",15346
"zorzal de Swainson, zorzal de anteojos",15314
"papamoscas del oeste, pibí occidental",15240
"mosquero pecho leonado, papamoscas pecho canela",15134
"mosquero de Hammond, papamoscas de Hammond",15066
"atlapetes gorra rufa, rascador gorra canela",14902
"tordo ojo amarillo, tordo ojos amarillos",14788
charrán de Sandwich,14754
"zacatonero corona canela, zacatonero corona rufa",14706
aguililla alas anchas,14690
rayador americano,14680
chara de San Blas,14590
halcón esmerejón,14584
vireo plomizo,14382
zorzal mexicano,14334
colibrí garganta azul,14330
